Date/Time,FLR1_GROUP15_BUILDING5_FLOOR1_ROOM1:Zone Air Temperature [C](Hourly),FLR1_GROUP15_BUILDING5_FLOOR2_ROOM1:Zone Air Temperature [C](Hourly),FLR2_GROUP15_BUILDING5_FLOOR2_ROOM1:Zone Air Temperature [C](Hourly),FLR3_GROUP15_BUILDING5_FLOOR2_ROOM1:Zone Air Temperature [C](Hourly),PURCHASED AIR FLR1_GROUP15_BUILDING5_FLOOR1_ROOM1:Zone Ideal Loads Supply Air Total Heating Energy [J](Hourly),PURCHASED AIR FLR1_GROUP15_BUILDING5_FLOOR1_ROOM1:Zone Ideal Loads Supply Air Total Cooling Energy [J](Hourly),PURCHASED AIR FLR1_GROUP15_BUILDING5_FLOOR2_ROOM1:Zone Ideal Loads Supply Air Total Heating Energy [J](Hourly),PURCHASED AIR FLR1_GROUP15_BUILDING5_FLOOR2_ROOM1:Zone Ideal Loads Supply Air Total Cooling Energy [J](Hourly),PURCHASED AIR FLR2_GROUP15_BUILDING5_FLOOR2_ROOM1:Zone Ideal Loads Supply Air Total Heating Energy [J](Hourly),PURCHASED AIR FLR2_GROUP15_BUILDING5_FLOOR2_ROOM1:Zone Ideal Loads Supply Air Total Cooling Energy [J](Hourly),PURCHASED AIR FLR3_GROUP15_BUILDING5_FLOOR2_ROOM1:Zone Ideal Loads Supply Air Total Heating Energy [J](Hourly),PURCHASED AIR FLR3_GROUP15_BUILDING5_FLOOR2_ROOM1:Zone Ideal Loads Supply Air Total Cooling Energy [J](Hourly) 
 01/01  01:00:00,20.0,20.0,20.0,19.999999999999998,9436922.48194454,0.0,9089630.424089497,0.0,9116109.963129044,0.0,13189276.935377958,0.0 
 01/01  02:00:00,20.0,20.0,20.0,20.0,8917788.219023843,0.0,8573561.097637302,0.0,8604143.417719929,0.0,12754004.158108019,0.0 
 01/01  03:00:00,20.0,20.0,20.0,20.000000000000005,8849399.814001054,0.0,8507263.657487214,0.0,8540633.414117462,0.0,12742898.576028822,0.0 
 01/01  04:00:00,20.0,20.0,20.0,19.999999999999998,8746298.513470699,0.0,8407911.888984893,0.0,8446331.414734189,0.0,12704219.330881494,0.0 
 01/01  05:00:00,20.0,20.0,20.0,20.0,8672851.558894258,0.0,8337689.229670117,0.0,8380456.893217127,0.0,12684908.497158444,0.0 
 01/01  06:00:00,20.0,20.0,20.0,20.0,8664143.560036717,0.0,8332174.317675867,0.0,8379354.756370699,0.0,12720983.521775412,0.0 
 01/01  07:00:00,20.0,19.999999999999998,20.0,20.000000000000005,8692637.377347073,0.0,8365131.366528898,0.0,8418707.833176122,0.0,12791768.725108119,0.0 
 01/01  08:00:00,20.0,20.0,20.0,20.0,8714425.565344189,0.0,8388477.377356092,0.0,8444163.562507756,0.0,12838095.607271154,0.0 
 01/01  09:00:00,20.0,20.0,19.999999999999998,20.0,8623274.51945786,0.0,8266013.364299745,0.0,8256685.903728599,0.0,12635783.736659542,0.0 
 01/01  10:00:00,20.0,20.000000000000005,20.0,20.000000000000005,8432816.446663978,0.0,8026333.698490245,0.0,7908425.371396853,0.0,12114148.405958888,0.0 
