Date/Time,northShading_Flr1,eastShading_Flr1,southShading_Flr1,westShading_Flr1,northShading_Flr2,eastShading_Flr2,southShading_Flr2,westShading_Flr2,northShading_Flr3,eastShading_Flr3,southShading_Flr3,westShading_Flr3,northShading_Flr4,eastShading_Flr4,southShading_Flr4,westShading_Flr4
January,0.7395021401048956,0.7594785023914074,0.8672535366037245,0.7355795804435135,0.7176722190282101,0.6911766393211579,0.7377567404195823,0.6859778621699126,0.6152329852264782,0.5102336175009696,0.5233890415995739,0.5398264920633546,0.34114192796606624,0.2245931740780449,0.22548368927508267,0.2938849021246055
February,0.7050864668233745,0.780657144604943,0.709107636852698,0.729905855419734,0.686586731306648,0.6428516339309135,0.6215421720521287,0.693595011128642,0.5958526950372436,0.4975966471800216,0.38966566877621445,0.5694901532765624,0.3512344347218558,0.1885470626150112,0.20438832985898603,0.28202919535237303
March,0.6927812471264669,0.6959439229864917,0.6557497020997458,0.7243380478722434,0.6748053313373791,0.6076688983328997,0.4911900930216587,0.6980345955181049,0.5862605599964983,0.41515303164453254,0.3669040176049905,0.5253242803373368,0.3473734615258893,0.15716588971286194,0.18079652227159237,0.21893455443463394
April,0.6601003517013566,0.6297292136996804,0.5394215126209769,0.7003392045889396,0.644505484531603,0.5794148687604408,0.4346762750161508,0.6466818031763697,0.5651018540447614,0.3774890136874737,0.3303601719075312,0.43561875249934046,0.34799511496145974,0.14429365301451003,0.16269042028657288,0.1552868152432797
May,0.6670394456567987,0.6361154178893209,0.5015900900699516,0.66315809686464,0.6520830389587222,0.47161925971860685,0.40180655453303604,0.5506475208505068,0.576664314100942,0.33571496755204566,0.31356007174541056,0.3585982385067651,0.35956072197286926,0.13892155560716057,0.16022947808016152,0.14640412194541674
June,0.6693341958507821,0.6290923302896111,0.484101953118693,0.6188798497916596,0.6556078754415242,0.4922892091893425,0.389680307214195,0.4908762489721721,0.5856989671882955,0.34054770247909105,0.30786576234321583,0.3194582030289106,0.3711025269637429,0.1342209827762758,0.1610867718953275,0.14117646351255064
July,0.6529761425325271,0.6245539761594542,0.4825643961817587,0.6237054543218801,0.6397122345041013,0.4811708106098227,0.38871419138084706,0.5307813706095628,0.5713127484297859,0.32915379951538426,0.30324384651839764,0.3325508952033014,0.36410243556050936,0.13579776933581766,0.15603875250302657,0.1392957352683768
August,0.659306085063935,0.6580902514626008,0.5230657446133002,0.6927140845058444,0.6443736573771507,0.5233628224077633,0.4237519367630944,0.5919147156298357,0.567844050168621,0.3489049168107655,0.32167249034811407,0.3988052408199064,0.3547470571607447,0.14518027126881594,0.16198017061729797,0.1607358014235032
September,0.682733862598592,0.6685829089988741,0.5637720788850755,0.7236657306754244,0.6656051752876988,0.5988991487574691,0.4715418540062518,0.68945426140432,0.5801099609989111,0.40291810276128615,0.349443683124777,0.5066056839900752,0.3489464436993892,0.15230466543419374,0.17478594704482675,0.19260500809695047
October,0.7050596439174444,0.7420634875085537,0.701134700893379,0.722561886430531,0.6866149691594357,0.6498157927324999,0.5289957167868735,0.7181671647734791,0.5960668324705309,0.4480601325624618,0.3763173264459174,0.5502286120986287,0.3519118567631303,0.15901634052334956,0.19119971648162037,0.22914601733143036
November,0.7405819532680101,0.7482808341579306,0.766745441750922,0.7297276089511798,0.7188712451289516,0.6570851557737555,0.6544555076847258,0.6792018789222253,0.616943290343875,0.5063790853318005,0.4330905593643122,0.5236047860980807,0.34419757409500695,0.19078864412455088,0.21274422093747902,0.2621162861859547
December,0.7558907805771133,0.7410145458350277,0.8537853461855263,0.7195866696631301,0.732784866589921,0.6459857706969776,0.7091135594086526,0.6613373979743142,0.6261753373545619,0.4913075517734635,0.5530332217168008,0.5164720180344101,0.3417815393657063,0.21959381246008802,0.23133512713307358,0.28320563338002325
