Date/Time,FLR1_GROUP15_BUILDING5_FLOOR1_ROOM1..FACE2:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Monthly),FLR1_GROUP15_BUILDING5_FLOOR1_ROOM1..FACE4:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Monthly),FLR1_GROUP15_BUILDING5_FLOOR1_ROOM1..FACE7:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Monthly),FLR1_GROUP15_BUILDING5_FLOOR1_ROOM1..FACE8:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Monthly),FLR1_GROUP15_BUILDING5_FLOOR1_ROOM1..FACE2_GLZ0:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Monthly),FLR1_GROUP15_BUILDING5_FLOOR1_ROOM1..FACE4_GLZ0:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Monthly),FLR1_GROUP15_BUILDING5_FLOOR1_ROOM1..FACE7_GLZ0:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Monthly),FLR1_GROUP15_BUILDING5_FLOOR1_ROOM1..FACE8_GLZ0:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Monthly),FLR1_GROUP15_BUILDING5_FLOOR2_ROOM1..FACE1:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Monthly),FLR1_GROUP15_BUILDING5_FLOOR2_ROOM1..FACE4:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Monthly),FLR1_GROUP15_BUILDING5_FLOOR2_ROOM1..FACE5:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Monthly),FLR1_GROUP15_BUILDING5_FLOOR2_ROOM1..FACE8:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Monthly),FLR1_GROUP15_BUILDING5_FLOOR2_ROOM1..FACE1_GLZ0:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Monthly),FLR1_GROUP15_BUILDING5_FLOOR2_ROOM1..FACE4_GLZ0:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Monthly),FLR1_GROUP15_BUILDING5_FLOOR2_ROOM1..FACE5_GLZ0:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Monthly),FLR1_GROUP15_BUILDING5_FLOOR2_ROOM1..FACE8_GLZ0:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Monthly),FLR2_GROUP15_BUILDING5_FLOOR2_ROOM1..FACE1:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Monthly),FLR2_GROUP15_BUILDING5_FLOOR2_ROOM1..FACE4:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Monthly),FLR2_GROUP15_BUILDING5_FLOOR2_ROOM1..FACE5:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Monthly),FLR2_GROUP15_BUILDING5_FLOOR2_ROOM1..FACE8:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Monthly),FLR2_GROUP15_BUILDING5_FLOOR2_ROOM1..FACE1_GLZ0:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Monthly),FLR2_GROUP15_BUILDING5_FLOOR2_ROOM1..FACE4_GLZ0:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Monthly),FLR2_GROUP15_BUILDING5_FLOOR2_ROOM1..FACE5_GLZ0:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Monthly),FLR2_GROUP15_BUILDING5_FLOOR2_ROOM1..FACE8_GLZ0:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Monthly),FLR3_GROUP15_BUILDING5_FLOOR2_ROOM1..FACE1:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Monthly),FLR3_GROUP15_BUILDING5_FLOOR2_ROOM1..FACE4:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Monthly),FLR3_GROUP15_BUILDING5_FLOOR2_ROOM1..FACE5:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Monthly),FLR3_GROUP15_BUILDING5_FLOOR2_ROOM1..FACE8:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Monthly),FLR3_GROUP15_BUILDING5_FLOOR2_ROOM1..FACE10:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Monthly),FLR3_GROUP15_BUILDING5_FLOOR2_ROOM1..FACE1_GLZ0:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Monthly),FLR3_GROUP15_BUILDING5_FLOOR2_ROOM1..FACE4_GLZ0:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Monthly),FLR3_GROUP15_BUILDING5_FLOOR2_ROOM1..FACE5_GLZ0:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Monthly),FLR3_GROUP15_BUILDING5_FLOOR2_ROOM1..FACE8_GLZ0:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Monthly) 
January,4.090573931679601,5.004222120256899,5.501041091825989,5.6654050178509609,4.273672927068189,6.300911497390297,5.770520743674322,6.759653343849419,5.839436048819055,6.306353328076226,10.340163702434842,4.353065964078062,7.482877842821045,7.409198872645016,13.353828653294868,4.631810006363322,7.729682534125079,10.095730683026435,21.654908467199964,5.168444108452686,10.965539468607595,11.75033041896385,24.269760385624786,6.3124064624891329,15.08365895020929,19.61908687489616,39.61795174168442,9.80988520504324,39.18730376768159,16.826116326971108,18.6033315868122,39.43955745192754,10.80908651750763 
February,6.185506346607636,7.208168340734016,7.764266285803897,14.230543917662477,6.390452173773567,9.948309965382228,8.065899454436155,22.49851397747645,8.143037530411425,9.549463454139556,22.350469402844163,6.479318153658782,11.285738196837884,13.133424409201556,29.271097528465768,6.7913211124543049,10.258822647945076,17.463135255889037,38.67308408971891,7.391984811917764,15.856861336292989,18.4748891050904,47.20514259433709,8.757427967800956,22.65933044133978,30.55943235074241,61.828631340294659,12.726164773302008,59.732458066669497,26.44483878696919,29.83957600609266,61.5350643366555,14.05803684979809 
March,11.130491525413975,12.843175714891104,14.931151963203377,31.023427731486725,11.473720744747828,17.258781469756984,18.95752243421341,35.89267847517739,14.40883053494495,22.557276077240073,41.40850161254157,11.62254739481007,18.905601179826545,24.461361649296305,53.050209418990998,12.145068557880839,19.97591520569037,35.12537705070995,56.691503054121749,13.151018937549284,29.718735035514695,36.46448915634698,66.00868809303032,15.45195646843436,42.4070414925365,52.87150999412159,85.79687415253265,22.10753059007576,108.2213987114607,48.90133634526231,52.54967014975617,85.4128731658279,24.373690027137884 
April,15.458173319232224,17.310968275778025,28.01133144082904,41.65425036927821,15.829481334117949,25.170948873889029,31.051901136341404,52.410636434142698,19.896515187614378,37.09424236908922,51.38032959805511,15.99048315122416,29.67807068743437,35.271397036635978,64.3299177656582,16.555750572722066,28.967054834326903,51.37223885383812,66.94134312148376,17.643995446725368,47.40697396445766,52.20544077054089,76.20036656878094,20.25366050862262,61.485346320473777,72.12709458272842,95.67278152357999,27.537412621900694,152.1502362171803,70.95433474186996,71.76182910304405,95.28002103379163,30.364547916222376 
May,19.93251740964729,23.29405872344822,35.84607710353908,45.11297764151756,20.401032188880966,34.809358462917767,37.683636282180099,55.61885257682946,27.228101897997975,47.37277181472228,54.562748487538097,20.604183555869299,46.43624019850607,54.718744937692537,66.75395571593328,21.31743543994879,43.94241765471241,65.75156214100183,68.90588026929508,22.69057791588691,66.28267928290645,68.7928996751255,76.60160926134035,25.938462806097367,79.95634949512712,88.62666622087174,94.09226094474592,35.40345352100285,194.63658073051196,88.21089248427269,89.17268964986168,93.7121672873277,39.24075136115886 
June,22.60286431721683,26.831783198662479,43.51670629524793,47.72959729669113,23.092960286011203,44.00522297236305,42.75325527188227,57.61438305319261,33.37108086810791,54.448429769794909,56.86901309141262,23.305469411505304,58.78488495624845,58.52208195307986,68.15918916079599,24.05157580689832,52.43675324946511,74.46125229201084,70.26626234896007,25.48796932502455,78.57730298792804,76.0128051208939,77.29606137036201,28.933857620356379,91.42023177672414,98.45523462419503,94.1026627296246,39.54747863663215,221.37966847426837,99.16222271738737,99.79537862160436,93.68802298166688,43.920793098536808 
July,21.63548881340163,25.066033055537497,39.26185272417292,48.23944693046275,22.066696166580227,41.93442072703889,41.795326752608378,58.8413231032356,30.423042677243236,52.487492522417209,57.72054466573695,22.2536707661796,52.289919276837498,57.7569986693027,69.5137047160306,22.910127020530007,48.678835455178838,71.93415077087338,71.7818646521606,24.173927350489234,74.38080592954415,74.67980580321275,79.2331522002879,27.259541750016227,87.36125244255814,95.41272136841326,96.35260768644882,36.44962622705835,212.2494362563278,95.91724135615401,96.2045469052104,95.9729019111393,40.43571658144532 
August,18.2053680871415,20.45196982067885,33.26894401961095,45.18750957010224,18.622664387157028,29.734889210909299,32.945561752692977,56.432718540807979,23.597707568219034,44.181889734803899,55.59793346930515,18.8036070543787,39.48886072384934,45.92755730179675,68.18391506805756,19.438885567240793,36.98361651585955,59.17849471564101,71.22666814141056,20.661914807727855,58.17533006565466,62.73788144926012,80.262352721204,23.622069147120269,72.34925556742071,82.5420512706499,99.54323610310047,31.896275525989297,177.52002479268954,81.21240416510187,82.36827490530873,99.15776992119314,35.2701603184661 
September,14.056674457165628,16.047661805132298,23.68136939388412,37.63625030098042,14.455676816938004,21.313286300522628,25.54648942220811,51.46520306432091,17.92723112670916,30.39412451925149,49.28433536911155,14.628687100523676,23.95197038816333,30.9178944952817,62.346320531366618,15.236115505077559,25.90818091465906,45.764415827784798,65.8967538462216,16.40552810951901,38.05483243852896,46.02462210359856,76.7511920538884,19.1315554574035,54.262684757127839,65.4648213390155,97.82200534080713,26.901129684907386,136.27473004840196,62.27327744075582,65.34255621013512,97.35692455981183,29.664116938179153 
October,8.255072611703696,9.615575947262311,12.190220758844568,15.411781444321902,8.527723285210206,13.115834510614532,12.27042821977973,26.685981297663657,10.859283700334372,14.66889273870579,32.42639718511323,8.645946571834639,13.323594148367669,16.658789938159,42.05644325559814,9.061021218769266,14.280876813122669,25.572848077841866,46.129075208918639,9.860117079730762,21.26285756281532,26.256610433358654,55.68924934374356,11.679074115736116,31.003977401173768,40.32702648696857,72.4558004217374,16.960446879673513,80.55711510346278,36.44197669329053,40.00685877288554,72.21858577772365,18.738420280481184 
