Date/Time,FLR1_GROUP15_BUILDING5_FLOOR1_ROOM1_SIMPLIFIED:Zone Air Temperature [C](Hourly),FLR1_GROUP15_BUILDING5_FLOOR2_ROOM1_SIMPLIFIED:Zone Air Temperature [C](Hourly),FLR2_GROUP15_BUILDING5_FLOOR2_ROOM1_SIMPLIFIED:Zone Air Temperature [C](Hourly),FLR3_GROUP15_BUILDING5_FLOOR2_ROOM1_SIMPLIFIED:Zone Air Temperature [C](Hourly),PURCHASED AIR FLR1_GROUP15_BUILDING5_FLOOR1_ROOM1_SIMPLIFIED:Zone Ideal Loads Supply Air Total Heating Energy [J](Hourly),PURCHASED AIR FLR1_GROUP15_BUILDING5_FLOOR1_ROOM1_SIMPLIFIED:Zone Ideal Loads Supply Air Total Cooling Energy [J](Hourly),PURCHASED AIR FLR1_GROUP15_BUILDING5_FLOOR2_ROOM1_SIMPLIFIED:Zone Ideal Loads Supply Air Total Heating Energy [J](Hourly),PURCHASED AIR FLR1_GROUP15_BUILDING5_FLOOR2_ROOM1_SIMPLIFIED:Zone Ideal Loads Supply Air Total Cooling Energy [J](Hourly),PURCHASED AIR FLR2_GROUP15_BUILDING5_FLOOR2_ROOM1_SIMPLIFIED:Zone Ideal Loads Supply Air Total Heating Energy [J](Hourly),PURCHASED AIR FLR2_GROUP15_BUILDING5_FLOOR2_ROOM1_SIMPLIFIED:Zone Ideal Loads Supply Air Total Cooling Energy [J](Hourly),PURCHASED AIR FLR3_GROUP15_BUILDING5_FLOOR2_ROOM1_SIMPLIFIED:Zone Ideal Loads Supply Air Total Heating Energy [J](Hourly),PURCHASED AIR FLR3_GROUP15_BUILDING5_FLOOR2_ROOM1_SIMPLIFIED:Zone Ideal Loads Supply Air Total Cooling Energy [J](Hourly) 
 01/01  01:00:00,20.0,20.0,20.0,20.0,6915172.933018747,0.0,6654572.6006334819,0.0,6701610.801140759,0.0,9821051.097880692,0.0 
 01/01  02:00:00,20.0,20.0,20.0,20.0,6520112.324066576,0.0,6263458.237512898,0.0,6315490.601081615,0.0,9493721.641091893,0.0 
 01/01  03:00:00,20.0,20.0,20.0,20.0,6465422.167553767,0.0,6211480.558607956,0.0,6266594.999677448,0.0,9485423.578586266,0.0 
 01/01  04:00:00,20.0,20.0,20.0,20.0,6396008.4666865109,0.0,6144665.092543819,0.0,6202662.080363085,0.0,9459712.712169219,0.0 
 01/01  05:00:00,20.0,20.0,20.0,20.0,6345469.518945747,0.0,6096564.671426286,0.0,6157222.914826534,0.0,9447377.233819642,0.0 
 01/01  06:00:00,20.0,20.0,20.0,20.0,6349048.487236384,0.0,6102271.8348380629,0.0,6165194.845757762,0.0,9479877.137440943,0.0 
 01/01  07:00:00,19.999999999999998,20.0,20.0,20.0,6387774.853519138,0.0,6142914.8879673159,0.0,6207883.294069499,0.0,9539850.100901945,0.0 
 01/01  08:00:00,20.0,20.0,20.0,20.0,6397887.973215533,0.0,6155232.145925984,0.0,6222748.700876211,0.0,9572759.041139227,0.0 
 01/01  09:00:00,20.0,20.0,19.999999999999998,20.0,6190522.296013764,0.0,5907556.402664105,0.0,5915433.769252346,0.0,9319023.086723445,0.0 
 01/01  10:00:00,20.0,20.0,20.0,20.0,5866154.336193072,0.0,5514539.457025133,0.0,5421994.306778291,0.0,8863123.029478739,0.0 
 01/01  11:00:00,20.0,20.0,19.999999999999998,20.0,5372397.724948243,0.0,4965655.0861129839,0.0,4793609.6182189,0.0,8240822.131138795,0.0 
 01/01  12:00:00,20.0,20.0,20.0,20.0,4707023.647526759,0.0,4268998.938808992,0.0,4052891.464732716,0.0,7491355.889627699,0.0 
 01/01  13:00:00,20.0,20.0,19.999999999999998,20.0,3945491.9346127866,0.0,3494778.147308249,0.0,3259324.3157668097,0.0,6681379.495257366,0.0 
 01/01  14:00:00,20.0,20.0,20.0,20.0,3494664.4964205215,0.0,3044639.058040972,0.0,2802001.000142739,0.0,6186114.309545977,0.0 
 01/01  15:00:00,20.0,20.0,20.0,20.0,3555170.999337295,0.0,3130844.1723781435,0.0,2917385.270820536,0.0,6227634.598253558,0.0 
 01/01  16:00:00,20.0,20.0,20.0,20.0,3952815.261860544,0.0,3575306.961596993,0.0,3429439.7490555306,0.0,6654863.281396266,0.0 
 01/01  17:00:00,20.0,20.0,20.0,20.0,4632828.886112354,0.0,4322355.554612985,0.0,4284924.912181145,0.0,7425679.389652454,0.0 
 01/01  18:00:00,20.0,20.0,19.999999999999998,20.0,5249834.709989205,0.0,4962091.900696617,0.0,4963172.688479511,0.0,8077410.548811884,0.0 
 01/01  19:00:00,20.0,20.0,20.0,20.0,6003929.664809938,0.0,5723348.5498204459,0.0,5737477.1227135,0.0,8813504.825085527,0.0 
 01/01  20:00:00,20.0,20.0,20.0,20.0,6602854.503763427,0.0,6326535.998691071,0.0,6348737.663752635,0.0,9391867.511780234,0.0 
 01/01  21:00:00,20.0,20.0,20.0,20.0,6950405.550977603,0.0,6677567.796435567,0.0,6706065.467717362,0.0,9733547.636054054,0.0 
 01/01  22:00:00,20.0,20.0,20.0,20.0,7162315.4992240839,0.0,6892571.149188847,0.0,6926262.454185938,0.0,9954093.7573138,0.0 
 01/01  23:00:00,20.0,20.0,20.0,20.0,7313287.102876054,0.0,7046402.149094182,0.0,7084504.347976327,0.0,10124284.761818793,0.0 
 01/01  24:00:00,20.0,20.0,20.0,20.0,7395606.406377119,0.0,7131404.870430046,0.0,7173292.66724843,0.0,10235748.410158445,0.0 
 01/02  01:00:00,20.0,20.0,20.0,20.0,7396003.099150661,0.0,7134637.946855315,0.0,7180256.297585597,0.0,10276530.837422904,0.0 
 01/02  02:00:00,20.0,20.0,20.0,20.0,7482175.73130457,0.0,7223219.634940878,0.0,7271706.175005082,0.0,10402001.15111502,0.0 
 01/02  03:00:00,20.0,20.0,20.0,20.0,7660324.141875327,0.0,7403473.766499795,0.0,7454269.267173039,0.0,10617264.36866226,0.0 
 01/02  04:00:00,20.0,20.0,20.0,20.0,7891980.731303211,0.0,7637125.940918822,0.0,7689986.489068963,0.0,10885832.86043958,0.0 
 01/02  05:00:00,20.0,20.0,20.0,20.000000000000005,8076574.278830495,0.0,7823581.513014171,0.0,7878257.298108434,0.0,11109003.106649012,0.0 
 01/02  06:00:00,20.0,20.0,20.0,20.0,8174858.219440762,0.0,7923775.364663051,0.0,7980289.9761104569,0.0,11249440.73382818,0.0 
 01/02  07:00:00,20.0,20.0,20.0,20.0,8209595.844814093,0.0,7960900.2963513,0.0,8019940.684942666,0.0,11333705.47335301,0.0 
 01/02  08:00:00,20.0,20.0,20.0,20.0,8166103.197682764,0.0,7920034.237566871,0.0,7981920.281638034,0.0,11344856.322937653,0.0 
 01/02  09:00:00,20.0,20.0,20.0,20.0,7783255.8336261999,0.0,7495989.407947587,0.0,7496868.316810414,0.0,10954099.874037337,0.0 
 01/02  10:00:00,20.0,20.0,20.0,20.0,7178597.669048961,0.0,6824213.233832419,0.0,6726514.811599894,0.0,10267632.94819012,0.0 
 01/02  11:00:00,20.0,20.0,20.0,20.0,6413223.316207097,0.0,6004680.844196594,0.0,5828615.431455625,0.0,9422104.880399296,0.0 
 01/02  12:00:00,20.0,20.0,20.0,20.0,5540249.966768377,0.0,5100653.114280239,0.0,4880732.401741307,0.0,8503365.368478846,0.0 
 01/02  13:00:00,20.0,20.0,20.0,20.0,4582326.737178416,0.0,4130626.821003733,0.0,3891937.455663137,0.0,7531332.121472518,0.0 
 01/02  14:00:00,20.0,20.0,20.000000000000005,20.0,3970797.0539500776,0.0,3520003.9347258985,0.0,3273937.219579705,0.0,6898463.910755485,0.0 
 01/02  15:00:00,20.0,20.0,19.999999999999998,20.0,3903123.737111734,0.0,3477857.6150463984,0.0,3259994.355524212,0.0,6827593.36168407,0.0 
 01/02  16:00:00,20.0,20.0,20.0,20.0,4209365.9280037139,0.0,3833126.4028127847,0.0,3685605.613140104,0.0,7177796.479479755,0.0 
 01/02  17:00:00,20.0,20.0,20.0,20.0,4849960.580787774,0.0,4539820.673625952,0.0,4498736.8038649619,0.0,7908621.021012461,0.0 
 01/02  18:00:00,20.0,20.0,20.0,20.0,5474287.515065358,0.0,5188700.954859976,0.0,5189012.968177474,0.0,8569827.726912676,0.0 
 01/02  19:00:00,20.0,20.0,20.000000000000005,20.0,6271465.048931878,0.0,5993374.07567943,0.0,6007218.24506622,0.0,9345725.070665252,0.0 
 01/02  20:00:00,20.0,20.000000000000005,20.0,20.0,6766423.670337187,0.0,6492890.566016757,0.0,6515246.185462691,0.0,9820262.288319046,0.0 
 01/02  21:00:00,20.0,20.0,20.0,20.000000000000005,6774596.204349663,0.0,6505626.079346138,0.0,6535885.739781965,0.0,9837179.162865328,0.0 
 01/02  22:00:00,20.0,20.0,20.0,20.0,6512732.9942208169,0.0,6248188.388156043,0.0,6285580.8115275059,0.0,9602188.674306658,0.0 
