Date/Time,FLR1_GROUP15_BUILDING5_FLOOR1_ROOM1_SIMPLIFIED:Zone Air Temperature [C](Hourly),FLR1_GROUP15_BUILDING5_FLOOR2_ROOM1_SIMPLIFIED:Zone Air Temperature [C](Hourly),FLR2_GROUP15_BUILDING5_FLOOR2_ROOM1_SIMPLIFIED:Zone Air Temperature [C](Hourly),FLR3_GROUP15_BUILDING5_FLOOR2_ROOM1_SIMPLIFIED:Zone Air Temperature [C](Hourly),PURCHASED AIR FLR1_GROUP15_BUILDING5_FLOOR1_ROOM1_SIMPLIFIED:Zone Ideal Loads Supply Air Total Heating Energy [J](Hourly),PURCHASED AIR FLR1_GROUP15_BUILDING5_FLOOR1_ROOM1_SIMPLIFIED:Zone Ideal Loads Supply Air Total Cooling Energy [J](Hourly),PURCHASED AIR FLR1_GROUP15_BUILDING5_FLOOR2_ROOM1_SIMPLIFIED:Zone Ideal Loads Supply Air Total Heating Energy [J](Hourly),PURCHASED AIR FLR1_GROUP15_BUILDING5_FLOOR2_ROOM1_SIMPLIFIED:Zone Ideal Loads Supply Air Total Cooling Energy [J](Hourly),PURCHASED AIR FLR2_GROUP15_BUILDING5_FLOOR2_ROOM1_SIMPLIFIED:Zone Ideal Loads Supply Air Total Heating Energy [J](Hourly),PURCHASED AIR FLR2_GROUP15_BUILDING5_FLOOR2_ROOM1_SIMPLIFIED:Zone Ideal Loads Supply Air Total Cooling Energy [J](Hourly),PURCHASED AIR FLR3_GROUP15_BUILDING5_FLOOR2_ROOM1_SIMPLIFIED:Zone Ideal Loads Supply Air Total Heating Energy [J](Hourly),PURCHASED AIR FLR3_GROUP15_BUILDING5_FLOOR2_ROOM1_SIMPLIFIED:Zone Ideal Loads Supply Air Total Cooling Energy [J](Hourly) 
 03/25  01:00:00,20.0,20.0,20.0,20.0,2864990.218933165,0.0,2526353.434620722,0.0,2416362.0200983399,0.0,3916155.58513366,0.0 
 03/25  02:00:00,20.0,20.0,20.0,20.0,2922240.192958244,0.0,2585326.2572359486,0.0,2485057.067941812,0.0,4010156.4470020097,0.0 
 03/25  03:00:00,20.0,20.0,20.0,20.0,2968623.9095903604,0.0,2633254.292588522,0.0,2541549.8980650946,0.0,4094076.7626811957,0.0 
 03/25  04:00:00,20.0,20.0,20.0,20.0,2970018.871240235,0.0,2636725.9360890195,0.0,2552427.689659373,0.0,4138016.0084737085,0.0 
 03/25  05:00:00,20.0,20.0,20.0,20.0,3007392.1048027027,0.0,2676397.880862547,0.0,2598547.0682932676,0.0,4216047.483460921,0.0 
 03/25  06:00:00,20.0,20.0,20.0,20.0,3118365.860469722,0.0,2789553.4849292009,0.0,2717542.4552121625,0.0,4362587.621218008,0.0 
 03/25  07:00:00,20.0,20.0,20.000000000000005,20.0,3142993.7612965337,0.0,2805871.5744253455,0.0,2708344.6966553486,0.0,4397483.459897968,0.0 
 03/25  08:00:00,20.0,20.0,20.0,20.0,2907079.0507552886,0.0,2541774.2197301296,0.0,2357506.6791500828,0.0,4105753.9695289528,0.0 
 03/25  09:00:00,20.0,20.0,20.0,20.0,2506637.709201938,0.0,2105769.7209970999,0.0,1814327.1677223545,0.0,3609837.823845334,0.0 
 03/25  10:00:00,20.0,20.0,20.0,20.0,1997495.287232341,0.0,1544983.6410911985,0.0,1134747.903561288,0.0,2975511.388268482,0.0 
 03/25  11:00:00,20.0,20.000000000000005,20.0,20.0,1553091.1244146627,0.0,1051228.4532299587,0.0,555287.1924590217,0.0,2411179.9896211426,0.0 
