Date/Time,FLR1_GROUP15_BUILDING5_FLOOR1_ROOM1_SIMPLIFIED:Zone Air Temperature [C](Hourly),FLR1_GROUP15_BUILDING5_FLOOR2_ROOM1_SIMPLIFIED:Zone Air Temperature [C](Hourly),FLR2_GROUP15_BUILDING5_FLOOR2_ROOM1_SIMPLIFIED:Zone Air Temperature [C](Hourly),FLR3_GROUP15_BUILDING5_FLOOR2_ROOM1_SIMPLIFIED:Zone Air Temperature [C](Hourly),PURCHASED AIR FLR1_GROUP15_BUILDING5_FLOOR1_ROOM1_SIMPLIFIED:Zone Ideal Loads Supply Air Total Heating Energy [J](Hourly),PURCHASED AIR FLR1_GROUP15_BUILDING5_FLOOR1_ROOM1_SIMPLIFIED:Zone Ideal Loads Supply Air Total Cooling Energy [J](Hourly),PURCHASED AIR FLR1_GROUP15_BUILDING5_FLOOR2_ROOM1_SIMPLIFIED:Zone Ideal Loads Supply Air Total Heating Energy [J](Hourly),PURCHASED AIR FLR1_GROUP15_BUILDING5_FLOOR2_ROOM1_SIMPLIFIED:Zone Ideal Loads Supply Air Total Cooling Energy [J](Hourly),PURCHASED AIR FLR2_GROUP15_BUILDING5_FLOOR2_ROOM1_SIMPLIFIED:Zone Ideal Loads Supply Air Total Heating Energy [J](Hourly),PURCHASED AIR FLR2_GROUP15_BUILDING5_FLOOR2_ROOM1_SIMPLIFIED:Zone Ideal Loads Supply Air Total Cooling Energy [J](Hourly),PURCHASED AIR FLR3_GROUP15_BUILDING5_FLOOR2_ROOM1_SIMPLIFIED:Zone Ideal Loads Supply Air Total Heating Energy [J](Hourly),PURCHASED AIR FLR3_GROUP15_BUILDING5_FLOOR2_ROOM1_SIMPLIFIED:Zone Ideal Loads Supply Air Total Cooling Energy [J](Hourly) 
 07/24  01:00:00,20.73805328465966,21.573493030258473,21.629574017702994,20.462504890481538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/24  02:00:00,20.88661083585966,21.719250992686985,21.772219854066923,20.55910520034296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/24  03:00:00,20.883235770972346,21.713314493596326,21.76334086013368,20.53405646168446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/24  04:00:00,20.845939099508589,21.673992452239536,21.721380449266176,20.493171047100807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/24  05:00:00,20.79913762701959,21.625239204913745,21.670182985356879,20.448731745922058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/24  06:00:00,20.778337015082756,21.60518347402522,21.651797505499247,20.430784721198937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/24  07:00:00,20.79092196014172,21.62259890000711,21.677251426175827,20.442792068809223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/24  08:00:00,20.820974426418549,21.660660140966156,21.72823166778474,20.47477282447875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/24  09:00:00,20.884291715728947,21.734151485826954,21.818056303079655,20.53672638346722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/24  10:00:00,20.967032253169895,21.82802616126168,21.92987689745576,20.615752236290918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/24  11:00:00,21.060074327901814,21.931502996004629,22.050360636648788,20.70281966713512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/24  12:00:00,21.147267301020553,22.026921078107866,22.159606032676768,20.782705990247114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/24  13:00:00,21.217274860955173,22.10200435715603,22.24406823198689,20.8491638674809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/24  14:00:00,21.27978033581766,22.168063215435884,22.31633432860426,20.90783538002657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/24  15:00:00,21.29451145366421,22.18283288849914,22.331875052909127,20.926266986765893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/24  16:00:00,21.270226989955199,22.15497774990043,22.299225291754508,20.912135993603184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/24  17:00:00,21.23270514499052,22.111297215371214,22.244982372966136,20.885261174588427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/24  18:00:00,21.2034381206024,22.07340758723224,22.192797075516024,20.85830856998325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/24  19:00:00,21.176795407101257,22.036689132150298,22.139789455290587,20.828558253888095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/24  20:00:00,21.14003037867491,21.990071424078708,22.077446483738269,20.78573014516564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/24  21:00:00,21.063910441179993,21.907060337979769,21.982329671114589,20.715081045800955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/24  22:00:00,20.960665788733235,21.800214303018867,21.868268520857055,20.62750421696254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/24  23:00:00,20.833341372600107,21.67044134886194,21.73316908661992,20.526322887436615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/24  24:00:00,20.7198459701055,21.55474732615488,21.613031997507194,20.435344305755547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/25  01:00:00,20.597898679182824,21.430647315951434,21.484998759174414,20.336440927771354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/25  02:00:00,20.492314608079643,21.323050302336858,21.374011694488698,20.251884728898078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/25  03:00:00,20.4366532632486,21.26527369982644,21.313195322716468,20.20235712132524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/25  04:00:00,20.41296212491669,21.239328771782174,21.284525751237358,20.173512027984648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/25  05:00:00,20.40936222024119,21.23369328808587,21.276935027451438,20.15783557345863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/25  06:00:00,20.487288430163479,21.326010326445674,21.39055228954486,20.233134980994408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/25  07:00:00,20.663058372519726,21.540175526406157,21.658840947905238,20.41695551081916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/25  08:00:00,20.935338243162648,21.86781196130679,22.06319185434927,20.707916152564896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/25  09:00:00,21.36089971832197,22.356455058149455,22.64003589157898,21.127370287818498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/25  10:00:00,21.892656382744723,22.951737487289877,23.316561520226914,21.635023597734404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/25  11:00:00,22.39367164556116,23.49481446111641,23.911882737424617,22.086826825230664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/25  12:00:00,22.76538030229683,23.87952249348031,24.310860181367727,22.402162023438974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/25  13:00:00,23.083114357186159,24.20082417290513,24.63541605627415,22.6811300875455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/25  14:00:00,23.414000861926867,24.551640047425008,25.020364617214609,23.017323217567648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/25  15:00:00,23.641071731715809,24.804807639067378,25.326798813056205,23.304408063438676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/25  16:00:00,23.704231322419945,24.879963122851568,25.435098135572987,23.452687770777385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/25  17:00:00,23.623581035799604,24.790436530325409,25.339505163227938,23.45989094374978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/25  18:00:00,23.520117293248729,24.66578464104937,25.17934929897908,23.416470589517187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/25  19:00:00,23.375804256233,24.48805876993354,24.939918088927404,23.303587165245916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/25  20:00:00,23.19255305980123,24.26737520957815,24.647895957880868,23.133523948917057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/25  21:00:00,22.959373187143524,24.0037957658655,24.32440189585965,22.930278503894149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/25  22:00:00,22.718869420562155,23.748743374899573,24.036878128512784,22.742030826200084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/25  23:00:00,22.45770126783624,23.477370904096586,23.741224695536727,22.546905102428938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/25  24:00:00,22.206685432388075,23.220599177256799,23.470017880026544,22.36145483968458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/26  01:00:00,21.94193019515424,22.956042941802975,23.194899023588609,22.1630678691688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/26  02:00:00,21.707624892328238,22.721620821573436,22.951540410060585,21.988664494634695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/26  03:00:00,21.534590865642885,22.54827306015581,22.770622851804139,21.857481229860328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/26  04:00:00,21.414784752513567,22.428044150497077,22.644018550014299,21.760934951170439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/26  05:00:00,21.34150830136822,22.354530320604643,22.565570489657558,21.694146022089865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/26  06:00:00,21.363621816967258,22.391608039548389,22.620101403206119,21.72530348117409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/26  07:00:00,21.518146055324097,22.583205121119766,22.86039960464152,21.887893527802409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/26  08:00:00,21.80206162826579,22.919407063513977,23.265907654122448,22.17526469528453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/26  09:00:00,22.229255805421606,23.406782362884387,23.83470939016038,22.582750914831136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/26  10:00:00,22.765457169309597,24.006856064738885,24.516660823518934,23.0820142843345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/26  11:00:00,23.277172045757188,24.563144467848848,25.12785094857166,23.53541681876672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/26  12:00:00,23.67189439011368,24.976198327466404,25.56125633556694,23.868846022115347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/26  13:00:00,24.011540267895869,25.32367111670771,25.900773295367789,24.163291833506397,0.0,0.0,0.0,0.0,0.0,131575.59028796387,0.0,0.0 
 07/26  14:00:00,24.358042159014528,25.69131309107318,25.99999999973959,24.50363282452187,0.0,0.0,0.0,0.0,0.0,1085532.569441184,0.0,0.0 
 07/26  15:00:00,24.602021163123636,25.95353479963894,26.0,24.786701985109248,0.0,0.0,0.0,50504.1622249549,0.0,1732418.0420780429,0.0,0.0 
 07/26  16:00:00,24.68732391562989,25.999999999996019,26.000000000000005,24.93633988172114,0.0,0.0,0.0,153592.10716059057,0.0,1825707.1771048625,0.0,0.0 
 07/26  17:00:00,24.634536428833198,25.975898728422327,26.0,24.946643341808984,0.0,0.0,0.0,0.0,0.0,1476368.1457719387,0.0,0.0 
 07/26  18:00:00,24.539228130708108,25.868519611114299,26.0,24.897133703621859,0.0,0.0,0.0,0.0,0.0,905694.1010714066,0.0,0.0 
 07/26  19:00:00,24.416840036194384,25.717346214738993,25.999395359958738,24.796508335795719,0.0,0.0,0.0,0.0,0.0,232746.92653032387,0.0,0.0 
 07/26  20:00:00,24.23873585868923,25.503714619126844,25.860054091059554,24.625961553933384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/26  21:00:00,24.02416608865587,25.260000271747015,25.594802109155557,24.438021558203976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/26  22:00:00,23.834599098318109,25.057672582519549,25.37881486777512,24.28795601894488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/26  23:00:00,23.64809035612242,24.863437840924367,25.173373563341106,24.14800258941408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/26  24:00:00,23.510962400012038,24.721590523360069,25.02171793478712,24.047037341365607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/27  01:00:00,23.397850972905066,24.60492572798314,24.896580950113035,23.961389536958945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/27  02:00:00,23.25225964671452,24.45617757138041,24.743622129872649,23.843339397787806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/27  03:00:00,23.003617493341158,24.209406608742439,24.493295122135014,23.645424939301465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/27  04:00:00,22.67709836744417,23.884325756660134,24.1641560555793,23.388876208016638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/27  05:00:00,22.35804743170071,23.566610766119159,23.84304759909611,23.150370506625565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/27  06:00:00,22.264696612687275,23.491317164375059,23.788152584787555,23.114601738398866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/27  07:00:00,22.38756595265269,23.66030075286172,24.015658721501933,23.277083186237847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/27  08:00:00,22.673570462673128,24.007820025804106,24.441902380725766,23.583842672220539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/27  09:00:00,23.153271694404216,24.558846867667176,25.08736372170137,24.053699994078774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/27  10:00:00,23.79125416828352,25.26479858407619,25.827427637394064,24.633546586175304,0.0,0.0,0.0,0.0,0.0,334224.5065850759,0.0,0.0 
 07/27  11:00:00,24.407432564749926,25.89387078165934,25.99999999413129,25.158717927748687,0.0,0.0,0.0,207805.4563232464,0.0,1839709.451838524,0.0,0.0 
 07/27  12:00:00,24.820336457510014,25.999999999469425,26.0,25.48472784835572,0.0,0.0,0.0,1105205.6606755942,0.0,2537126.8399088445,0.0,0.0 
 07/27  13:00:00,25.125197852194849,26.0,26.0,25.739347334889293,0.0,0.0,0.0,1728111.1711342675,0.0,3052386.482170471,0.0,0.0 
 07/27  14:00:00,25.44221248177369,26.0,26.0,25.98205614243382,0.0,0.0,0.0,2424932.505916105,0.0,3792582.885875253,0.0,405101.94108589788 
 07/27  15:00:00,25.704983651733455,26.0,26.0,25.999999999999984,0.0,0.0,0.0,2857897.7783571665,0.0,4313644.481572239,0.0,1348579.4251825866 
 07/27  16:00:00,25.8211827854652,26.0,26.0,26.0,0.0,0.0,0.0,2830091.055646431,0.0,4293009.039162905,0.0,1728220.174641127 
 07/27  17:00:00,25.7791163355984,26.0,26.0,26.0,0.0,0.0,0.0,2413493.200666661,0.0,3783086.8253834636,0.0,1587557.4829968303 
 07/27  18:00:00,25.59605134873198,26.0,26.0,26.0,0.0,0.0,0.0,1712886.1111461647,0.0,2908061.21208861,0.0,1027368.6794390788 
 07/27  19:00:00,25.30555659531466,26.0,26.0,25.991869696775763,0.0,0.0,0.0,818283.5855897603,0.0,1807789.4599488034,0.0,232441.67357172408 
 07/27  20:00:00,24.93346467410717,25.96581271352849,26.0,25.802256512376699,0.0,0.0,0.0,57931.83242091326,0.0,670478.0912655928,0.0,0.0 
 07/27  21:00:00,24.600393115813444,25.74341693800558,25.973922778083943,25.544532058276208,0.0,0.0,0.0,0.0,0.0,35293.480060191374,0.0,0.0 
 07/27  22:00:00,24.314636224735698,25.486215570467285,25.784747890131244,25.331698522303584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/27  23:00:00,24.06426626906168,25.25659419730681,25.565667525382194,25.14611998614356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/27  24:00:00,23.879061674677144,25.0862709081466,25.39699919345736,25.005404379771198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/28  01:00:00,23.733855253249958,24.9520032495621,25.2621593408508,24.889108185967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/28  02:00:00,23.596554009727254,24.82297397760296,25.131670751520443,24.77108199021731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/28  03:00:00,23.436173100025589,24.669105002637467,24.976052241749135,24.633331535322446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/28  04:00:00,23.267960882787127,24.50592568444038,24.810899159778335,24.48629522245588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/28  05:00:00,23.093062282216964,24.335395781532627,24.638885698493323,24.336909943489137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/28  06:00:00,23.032670764649465,24.294591956978917,24.61874438274199,24.30445687514617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/28  07:00:00,23.116068670396037,24.424677986939686,24.806577287328297,24.42024486178754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/28  08:00:00,23.346417861412097,24.717536398763078,25.178019739572809,24.67773791526354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/28  09:00:00,23.812164905040786,25.255554781198915,25.789751448637977,25.13178872185343,0.0,0.0,0.0,0.0,0.0,182151.20434517158,0.0,0.0 
 07/28  10:00:00,24.45080215010947,25.885263905591548,25.999999877364578,25.701117727457299,0.0,0.0,0.0,426446.86906228886,0.0,1993914.4042212107,0.0,0.0 
 07/28  11:00:00,25.073617509839449,25.99999999996227,26.0,25.999973414892577,0.0,0.0,0.0,1868829.1271174618,0.0,3354883.394853663,0.0,949412.5455048923 
 07/28  12:00:00,25.485203996502518,26.0,26.0,26.0,0.0,0.0,0.0,2537714.102145189,0.0,3948930.4416183035,0.0,1745173.9179949626 
 07/28  13:00:00,25.783651391477148,26.000000000000005,26.0,26.0,0.0,0.0,0.0,3034489.9999300839,0.0,4400440.140377408,0.0,2363550.792961943 
 07/28  14:00:00,25.994094140082429,26.0,26.0,26.0,0.0,460872.0363391877,0.0,3692914.469710532,0.0,5127942.17701469,0.0,3244313.1677262645 
 07/28  15:00:00,26.0,26.0,26.0,26.0,0.0,1098725.4604380662,0.0,4253573.192207147,0.0,5813089.005353935,0.0,4121381.6173248675 
 07/28  16:00:00,26.0,26.0,26.0,26.0,0.0,1247867.2424408275,0.0,4324580.762874498,0.0,5899137.107328047,0.0,4492676.008934866 
 07/28  17:00:00,26.0,26.0,26.0,26.0,0.0,955819.31154553,0.0,3886728.16520385,0.0,5357288.911369296,0.0,4256244.061560051 
 07/28  18:00:00,26.0,26.0,25.999999999999998,26.0,0.0,369900.82005347826,0.0,3169627.8845590318,0.0,4471076.54818841,0.0,3623374.3812053354 
 07/28  19:00:00,25.921520371225755,25.999999999999998,26.0,26.0,0.0,0.0,0.0,2304642.380848458,0.0,3408601.4881670118,0.0,2751729.9078512757 
 07/28  20:00:00,25.63201031420523,26.0,26.0,26.0,0.0,0.0,0.0,1355742.8470333929,0.0,2253922.8466326238,0.0,1726865.1420291679 
 07/28  21:00:00,25.340667395245196,26.0,26.0,25.999999999999998,0.0,0.0,0.0,687185.3010627338,0.0,1485310.314535576,0.0,996295.8727187471 
 07/28  22:00:00,25.093930758902528,25.996196410564079,26.0,26.0,0.0,0.0,0.0,144422.14226318556,0.0,874956.7008423888,0.0,394843.7635111081 
 07/28  23:00:00,24.852910899223873,25.904782399916156,26.0,25.97727381063436,0.0,0.0,0.0,0.0,0.0,355454.1535700982,0.0,8697.336951140034 
 07/28  24:00:00,24.66223669515681,25.761547354119853,25.98691627096589,25.87435590523299,0.0,0.0,0.0,0.0,0.0,26449.493443886597,0.0,0.0 
 07/29  01:00:00,24.491357284698695,25.61747576729559,25.888262569113349,25.759373692803157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/29  02:00:00,24.333511379177918,25.478517631270777,25.75927046688499,25.6438009211993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/29  03:00:00,24.178319726305238,25.337654431653069,25.622454404025729,25.5225743208504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/29  04:00:00,24.025919906886647,25.19653470570284,25.48320981720614,25.397925587317358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/29  05:00:00,23.898771573189025,25.078854510522026,25.366798525413178,25.29069410389469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/29  06:00:00,23.894332755297559,25.098300087242707,25.408823498352679,25.304359691068059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/29  07:00:00,24.048459197359333,25.302675367858546,25.672014732934004,25.476398996978359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 07/29  08:00:00,24.319793050024484,25.639982845083254,25.975699492101854,25.76178740050878,0.0,0.0,0.0,0.0,0.0,664469.383614585,0.0,0.0 
 07/29  09:00:00,24.73716529967929,25.982070317862236,25.99999999999991,25.997526671480587,0.0,0.0,0.0,825065.5535608232,0.0,2509648.1533267649,0.0,1023980.942696032 
 07/29  10:00:00,25.26620139859781,25.999999999999927,26.0,26.0,0.0,0.0,0.0,2600836.620334734,0.0,4134891.5644989,0.0,2845361.88129332 
 07/29  11:00:00,25.775219588487557,26.0,26.0,26.0,0.0,0.0,0.0,3698611.5337157004,0.0,5141502.598825135,0.0,3999613.107031295 
 07/29  12:00:00,25.999993371838217,26.0,26.0,26.0,0.0,701693.806666083,0.0,4168614.362273315,0.0,5508245.572695456,0.0,4476736.593873896 
