Date/Time,FLR1_GROUP15_BUILDING5_FLOOR1_ROOM1_SIMPLIFIED:Zone Air Temperature [C](Hourly),FLR1_GROUP15_BUILDING5_FLOOR2_ROOM1_SIMPLIFIED:Zone Air Temperature [C](Hourly),FLR2_GROUP15_BUILDING5_FLOOR2_ROOM1_SIMPLIFIED:Zone Air Temperature [C](Hourly),FLR3_GROUP15_BUILDING5_FLOOR2_ROOM1_SIMPLIFIED:Zone Air Temperature [C](Hourly),PURCHASED AIR FLR1_GROUP15_BUILDING5_FLOOR1_ROOM1_SIMPLIFIED:Zone Ideal Loads Supply Air Total Heating Energy [J](Hourly),PURCHASED AIR FLR1_GROUP15_BUILDING5_FLOOR1_ROOM1_SIMPLIFIED:Zone Ideal Loads Supply Air Total Cooling Energy [J](Hourly),PURCHASED AIR FLR1_GROUP15_BUILDING5_FLOOR2_ROOM1_SIMPLIFIED:Zone Ideal Loads Supply Air Total Heating Energy [J](Hourly),PURCHASED AIR FLR1_GROUP15_BUILDING5_FLOOR2_ROOM1_SIMPLIFIED:Zone Ideal Loads Supply Air Total Cooling Energy [J](Hourly),PURCHASED AIR FLR2_GROUP15_BUILDING5_FLOOR2_ROOM1_SIMPLIFIED:Zone Ideal Loads Supply Air Total Heating Energy [J](Hourly),PURCHASED AIR FLR2_GROUP15_BUILDING5_FLOOR2_ROOM1_SIMPLIFIED:Zone Ideal Loads Supply Air Total Cooling Energy [J](Hourly),PURCHASED AIR FLR3_GROUP15_BUILDING5_FLOOR2_ROOM1_SIMPLIFIED:Zone Ideal Loads Supply Air Total Heating Energy [J](Hourly),PURCHASED AIR FLR3_GROUP15_BUILDING5_FLOOR2_ROOM1_SIMPLIFIED:Zone Ideal Loads Supply Air Total Cooling Energy [J](Hourly) 
 11/24  01:00:00,20.0,20.000000000000005,20.0,20.0,5494486.289259973,0.0,5211857.875437899,0.0,5221604.154003615,0.0,8141630.172124921,0.0 
 11/24  02:00:00,20.0,20.0,20.0,20.0,4882479.491331363,0.0,4604626.230202905,0.0,4620279.348699101,0.0,7602851.770231641,0.0 
 11/24  03:00:00,20.0,20.0,20.0,20.0,5267436.456994927,0.0,4992298.732033059,0.0,5011455.947622875,0.0,8000419.93927139,0.0 
 11/24  04:00:00,20.0,19.999999999999998,20.0,20.0,5816743.988292502,0.0,5543807.246369932,0.0,5565895.989362638,0.0,8551961.094400425,0.0 
 11/24  05:00:00,20.0,20.0,20.0,20.0,6244807.222062183,0.0,5973902.8361019189,0.0,5998677.65330509,0.0,8983592.18515826,0.0 
 11/24  06:00:00,20.0,20.0,20.0,19.999999999999998,6480758.01075091,0.0,6211941.649987879,0.0,6239463.749263491,0.0,9229199.6152197,0.0 
 11/24  07:00:00,19.999999999999998,20.0,19.999999999999998,20.0,6606504.569542819,0.0,6339920.68677471,0.0,6370354.043867228,0.0,9370217.176493647,0.0 
 11/24  08:00:00,19.999999999999998,20.0,20.0,20.000000000000005,6523607.378967991,0.0,6247081.314160911,0.0,6262397.590381099,0.0,9284681.476600048,0.0 
 11/24  09:00:00,20.0,20.0,20.000000000000005,20.0,6065155.656521979,0.0,5724800.239390936,0.0,5646913.935263224,0.0,8684014.000909564,0.0 
 11/24  10:00:00,20.0,20.0,20.0,20.0,5407718.477796339,0.0,4981533.44125055,0.0,4784888.180174399,0.0,7803413.364995158,0.0 
 11/24  11:00:00,20.0,20.0,20.0,20.0,4817832.830084318,0.0,4317239.924159022,0.0,4024345.5755935388,0.0,6989591.247733607,0.0 
