Date/Time,FLR1_GROUP15_BUILDING5_FLOOR1_ROOM1_SIMPLIFIED:Zone Air Temperature [C](Hourly),FLR1_GROUP15_BUILDING5_FLOOR2_ROOM1_SIMPLIFIED:Zone Air Temperature [C](Hourly),FLR2_GROUP15_BUILDING5_FLOOR2_ROOM1_SIMPLIFIED:Zone Air Temperature [C](Hourly),FLR3_GROUP15_BUILDING5_FLOOR2_ROOM1_SIMPLIFIED:Zone Air Temperature [C](Hourly),PURCHASED AIR FLR1_GROUP15_BUILDING5_FLOOR1_ROOM1_SIMPLIFIED:Zone Ideal Loads Supply Air Total Heating Energy [J](Hourly),PURCHASED AIR FLR1_GROUP15_BUILDING5_FLOOR1_ROOM1_SIMPLIFIED:Zone Ideal Loads Supply Air Total Cooling Energy [J](Hourly),PURCHASED AIR FLR1_GROUP15_BUILDING5_FLOOR2_ROOM1_SIMPLIFIED:Zone Ideal Loads Supply Air Total Heating Energy [J](Hourly),PURCHASED AIR FLR1_GROUP15_BUILDING5_FLOOR2_ROOM1_SIMPLIFIED:Zone Ideal Loads Supply Air Total Cooling Energy [J](Hourly),PURCHASED AIR FLR2_GROUP15_BUILDING5_FLOOR2_ROOM1_SIMPLIFIED:Zone Ideal Loads Supply Air Total Heating Energy [J](Hourly),PURCHASED AIR FLR2_GROUP15_BUILDING5_FLOOR2_ROOM1_SIMPLIFIED:Zone Ideal Loads Supply Air Total Cooling Energy [J](Hourly),PURCHASED AIR FLR3_GROUP15_BUILDING5_FLOOR2_ROOM1_SIMPLIFIED:Zone Ideal Loads Supply Air Total Heating Energy [J](Hourly),PURCHASED AIR FLR3_GROUP15_BUILDING5_FLOOR2_ROOM1_SIMPLIFIED:Zone Ideal Loads Supply Air Total Cooling Energy [J](Hourly) 
 01/25  01:00:00,20.0,20.0,20.0,20.0,3975195.2951771488,0.0,3668280.023879485,0.0,3633816.467764156,0.0,5699543.896143778,0.0 
 01/25  02:00:00,20.0,20.0,20.0,20.000000000000005,3815092.6338888776,0.0,3511391.961591112,0.0,3482517.6705241047,0.0,5586412.821253736,0.0 
 01/25  03:00:00,20.0,20.0,20.0,20.0,3774293.558055842,0.0,3473361.898877443,0.0,3449223.654944715,0.0,5583692.194434394,0.0 
 01/25  04:00:00,20.0,20.0,20.0,20.0,3634223.995678863,0.0,3335939.3578350355,0.0,3316011.3602782117,0.0,5485170.067894016,0.0 
 01/25  05:00:00,19.999999999999998,20.0,20.0,20.0,3539808.9962601719,0.0,3244235.600857175,0.0,3228560.4099390909,0.0,5430180.614121468,0.0 
 01/25  06:00:00,20.0,20.0,20.0,20.0,3541900.993584894,0.0,3248741.224936585,0.0,3236898.762012208,0.0,5462529.695214425,0.0 
 01/25  07:00:00,20.0,20.0,20.0,20.0,3572345.357307444,0.0,3281531.0263222216,0.0,3273481.469483803,0.0,5519231.054892123,0.0 
 01/25  08:00:00,20.0,20.0,20.0,20.0,3603677.5882890915,0.0,3310997.8433125626,0.0,3299842.094773047,0.0,5565710.478997372,0.0 
 01/25  09:00:00,20.0,20.0,20.0,20.0,3426121.8339837768,0.0,3079343.017429854,0.0,2973001.156953479,0.0,5266683.047645156,0.0 
 01/25  10:00:00,19.999999999999998,20.0,19.999999999999998,20.0,3224140.711617213,0.0,2816423.6136966457,0.0,2589932.319988668,0.0,4875276.064994953,0.0 
 01/25  11:00:00,20.0,20.0,20.0,19.999999999999998,2872221.683701166,0.0,2412997.2360104748,0.0,2071369.9258095923,0.0,4331468.072451478,0.0 
 01/25  12:00:00,19.999999999999998,20.0,20.0,20.0,2345671.7447748586,0.0,1852743.795411501,0.0,1405299.701752352,0.0,3647060.6166604238,0.0 
 01/25  13:00:00,20.0,20.0,20.0,20.0,1783730.3587012008,0.0,1286626.7663760896,0.0,788315.5827904164,0.0,3003557.809573432,0.0 
 01/25  14:00:00,20.0,20.0,20.0,20.0,1451008.4900537565,0.0,955240.7638140924,0.0,442665.5925801111,0.0,2609897.327553014,0.0 
 01/25  15:00:00,20.0,20.0,20.0,20.0,1611060.5162244857,0.0,1145649.3725462687,0.0,702421.2461334739,0.0,2779961.1841253458,0.0 
 01/25  16:00:00,20.0,20.0,20.0,20.0,2000752.6214821977,0.0,1576706.6631151508,0.0,1235287.045207202,0.0,3240854.6466568757,0.0 
 01/25  17:00:00,20.0,20.0,20.000000000000005,20.0,2466144.4712321537,0.0,2089741.888442349,0.0,1879062.9416996686,0.0,3840937.424146955,0.0 
 01/25  18:00:00,20.000000000000005,20.0,20.0,20.0,2825603.3636289227,0.0,2486006.5841029358,0.0,2372424.5607005546,0.0,4336339.988657471,0.0 
 01/25  19:00:00,20.0,20.0,19.999999999999998,20.0,3015875.759160178,0.0,2685966.108072484,0.0,2595703.801989507,0.0,4582773.071715041,0.0 
 01/25  20:00:00,20.0,20.0,20.0,20.000000000000005,3240243.233788505,0.0,2916367.962123215,0.0,2841514.375194552,0.0,4837405.78763348,0.0 
 01/25  21:00:00,20.0,20.0,20.0,20.0,3478273.433572796,0.0,3158912.975400919,0.0,3095655.5561507588,0.0,5098682.036966565,0.0 
 01/25  22:00:00,20.0,20.0,20.0,20.0,3748823.50694791,0.0,3433220.7068629947,0.0,3379353.99563884,0.0,5387868.0405789189,0.0 
