Date/Time,FLR1_GROUP15_BUILDING5_FLOOR1_ROOM1_SIMPLIFIED:Zone Air Temperature [C](Hourly),FLR1_GROUP15_BUILDING5_FLOOR2_ROOM1_SIMPLIFIED:Zone Air Temperature [C](Hourly),FLR2_GROUP15_BUILDING5_FLOOR2_ROOM1_SIMPLIFIED:Zone Air Temperature [C](Hourly),FLR3_GROUP15_BUILDING5_FLOOR2_ROOM1_SIMPLIFIED:Zone Air Temperature [C](Hourly),PURCHASED AIR FLR1_GROUP15_BUILDING5_FLOOR1_ROOM1_SIMPLIFIED:Zone Ideal Loads Supply Air Total Heating Energy [J](Hourly),PURCHASED AIR FLR1_GROUP15_BUILDING5_FLOOR1_ROOM1_SIMPLIFIED:Zone Ideal Loads Supply Air Total Cooling Energy [J](Hourly),PURCHASED AIR FLR1_GROUP15_BUILDING5_FLOOR2_ROOM1_SIMPLIFIED:Zone Ideal Loads Supply Air Total Heating Energy [J](Hourly),PURCHASED AIR FLR1_GROUP15_BUILDING5_FLOOR2_ROOM1_SIMPLIFIED:Zone Ideal Loads Supply Air Total Cooling Energy [J](Hourly),PURCHASED AIR FLR2_GROUP15_BUILDING5_FLOOR2_ROOM1_SIMPLIFIED:Zone Ideal Loads Supply Air Total Heating Energy [J](Hourly),PURCHASED AIR FLR2_GROUP15_BUILDING5_FLOOR2_ROOM1_SIMPLIFIED:Zone Ideal Loads Supply Air Total Cooling Energy [J](Hourly),PURCHASED AIR FLR3_GROUP15_BUILDING5_FLOOR2_ROOM1_SIMPLIFIED:Zone Ideal Loads Supply Air Total Heating Energy [J](Hourly),PURCHASED AIR FLR3_GROUP15_BUILDING5_FLOOR2_ROOM1_SIMPLIFIED:Zone Ideal Loads Supply Air Total Cooling Energy [J](Hourly) 
 01/01  01:00:00,20.0,20.0,20.0,20.0,6983651.955744712,0.0,6727205.886121195,0.0,6754559.387312563,0.0,9852364.868711038,0.0 
 01/01  02:00:00,19.999999999999998,20.0,20.0,20.0,6582987.436794955,0.0,6330127.367258463,0.0,6363732.0192982549,0.0,9522334.98063242,0.0 
 01/01  03:00:00,20.0,20.0,20.0,19.999999999999998,6524513.771701332,0.0,6274173.3995224819,0.0,6311795.7065372,0.0,9512392.424875286,0.0 
 01/01  04:00:00,20.0,20.0,20.0,20.0,6451553.749067759,0.0,6203634.016595137,0.0,6245019.778872002,0.0,9485132.476508936,0.0 
 01/01  05:00:00,20.0,20.0,20.0,20.0,6397745.342046417,0.0,6152094.532675563,0.0,6196963.028153639,0.0,9471392.765080993,0.0 
 01/01  06:00:00,20.0,20.0,20.000000000000005,20.0,6398490.041938327,0.0,6154829.7501342589,0.0,6202699.180354549,0.0,9502707.50035989,0.0 
 01/01  07:00:00,20.0,20.0,20.0,20.0,6434655.449408239,0.0,6192792.138507649,0.0,6243386.717911277,0.0,9561600.0256374,0.0 
 01/01  08:00:00,20.0,20.0,20.0,20.0,6441825.850700863,0.0,6201991.622045192,0.0,6255869.423290944,0.0,9593240.92151368,0.0 
 01/01  09:00:00,20.0,20.0,20.0,20.0,6296275.903875737,0.0,6022233.192290755,0.0,6001859.504887697,0.0,9355274.694433079,0.0 
 01/01  10:00:00,19.999999999999998,20.0,20.0,20.0,6085726.292887251,0.0,5750501.626521825,0.0,5601979.504193173,0.0,8929457.944330613,0.0 
 01/01  11:00:00,20.0,20.0,20.0,20.0,5696383.7582484469,0.0,5307361.736795601,0.0,5051883.878040648,0.0,8333368.289574155,0.0 
 01/01  12:00:00,19.999999999999998,20.0,20.0,20.0,5104016.082239773,0.0,4679455.606104887,0.0,4358678.40517022,0.0,7600114.366739124,0.0 
 01/01  13:00:00,20.0,20.0,20.0,20.0,4377244.241290149,0.0,3936725.1472145628,0.0,3587096.253621629,0.0,6799986.923174284,0.0 
 01/01  14:00:00,20.0,20.0,20.0,20.0,3918491.428726714,0.0,3480220.544835984,0.0,3130051.398285117,0.0,6312521.906443415,0.0 
 01/01  15:00:00,20.0,20.0,20.0,20.000000000000005,3921527.9052222918,0.0,3510699.5137883045,0.0,3209776.531862693,0.0,6351056.453281792,0.0 
 01/01  16:00:00,20.0,20.0,20.0,20.0,4229774.998167485,0.0,3864599.9342300875,0.0,3655178.369937025,0.0,6760530.366285779,0.0 
 01/01  17:00:00,20.0,20.0,20.0,20.0,4795578.635915583,0.0,4492495.205558261,0.0,4414937.158047765,0.0,7496906.34986172,0.0 
 01/01  18:00:00,20.0,20.0,20.0,20.0,5372622.261772242,0.0,5090366.402162337,0.0,5059212.559988339,0.0,8132788.056709045,0.0 
 01/01  19:00:00,20.0,20.0,19.999999999999998,20.0,6111779.297203907,0.0,5836355.344077906,0.0,5821570.304780319,0.0,8862231.453214637,0.0 
 01/01  20:00:00,20.0,20.0,20.0,20.0,6701103.307857134,0.0,6429823.8430328839,0.0,6425328.412925897,0.0,9436382.982947411,0.0 
 01/01  21:00:00,20.0,20.0,20.0,20.0,7041128.0378253119,0.0,6773207.74696846,0.0,6776768.121954574,0.0,9774741.216312387,0.0 
 01/01  22:00:00,20.0,20.0,20.0,20.0,7246837.405288598,0.0,6981867.60146326,0.0,6992082.528191807,0.0,9992535.032604598,0.0 
 01/01  23:00:00,20.0,20.0,20.0,20.000000000000005,7392477.612137966,0.0,7130222.159113391,0.0,7146129.518615396,0.0,10160393.766198585,0.0 
 01/01  24:00:00,19.999999999999998,20.0,20.0,20.0,7470145.430130231,0.0,7210430.63011128,0.0,7231262.759016579,0.0,10269852.080532156,0.0 
 01/02  01:00:00,20.0,20.0,20.0,20.0,7466032.2996587,0.0,7208968.035469986,0.0,7234622.516091091,0.0,10308666.14504251,0.0 
 01/02  02:00:00,20.0,20.0,20.0,20.0,7548222.742513968,0.0,7293427.435883138,0.0,7322870.072950103,0.0,10432321.769016322,0.0 
 01/02  03:00:00,20.0,20.0,20.0,20.0,7723327.696893994,0.0,7470540.19884152,0.0,7503104.049727194,0.0,10646340.017645348,0.0 
 01/02  04:00:00,20.0,20.0,20.0,20.000000000000005,7952367.02611436,0.0,7701491.203001633,0.0,7736880.35936931,0.0,10913948.712165634,0.0 
 01/02  05:00:00,20.0,20.0,20.0,20.0,8134197.874699253,0.0,7885099.325359732,0.0,7922985.208941948,0.0,11135927.44522095,0.0 
 01/02  06:00:00,20.000000000000005,20.0,20.0,20.0,8230204.6377312629,0.0,7982927.370040023,0.0,8023325.061340978,0.0,11275495.698309463,0.0 
 01/02  07:00:00,20.0,20.0,20.0,20.0,8262002.138794857,0.0,8016946.168767324,0.0,8060633.880486179,0.0,11358551.240338296,0.0 
 01/02  08:00:00,20.0,20.0,20.0,20.0,8215274.991257692,0.0,7972636.577445585,0.0,8019962.495632,0.0,11368286.614214659,0.0 
 01/02  09:00:00,20.0,20.0,20.0,20.0,7896060.980133491,0.0,7618487.016888551,0.0,7589576.134199344,0.0,10993458.386134228,0.0 
 01/02  10:00:00,20.0,20.0,20.0,20.0,7403099.823215932,0.0,7065543.46511865,0.0,6910450.087233233,0.0,10335901.233177653,0.0 
 01/02  11:00:00,20.0,20.0,20.0,20.0,6741285.519174449,0.0,6350720.310151442,0.0,6089808.722967569,0.0,9515713.49929517,0.0 
 01/02  12:00:00,20.0,20.0,20.0,20.0,5942640.778607493,0.0,5516632.4903095629,0.0,5190367.638480157,0.0,8613103.55766201,0.0 
 01/02  13:00:00,20.0,20.0,20.0,20.0,5019016.343938596,0.0,4577491.088646592,0.0,4222874.286552637,0.0,7650413.312234696,0.0 
 01/02  14:00:00,20.0,20.0,20.0,20.0,4400113.463762182,0.0,3961127.4924950699,0.0,3605933.289715294,0.0,7025622.882329735,0.0 
 01/02  15:00:00,20.0,20.0,20.0,20.0,4275718.032931976,0.0,3864092.9600110307,0.0,3557191.857058294,0.0,6952300.893557693,0.0 
 01/02  16:00:00,20.0,20.0,20.0,20.0,4488624.437892599,0.0,4124744.975418469,0.0,3912807.520582785,0.0,7283823.214994438,0.0 
 01/02  17:00:00,20.0,19.999999999999998,20.0,20.0,5017183.511140141,0.0,4714553.46623761,0.0,4632319.680333469,0.0,7981221.565116728,0.0 
