Date/Time,FLR1_GROUP15_BUILDING5_FLOOR1_ROOM1_SIMPLIFIED:Zone Air Temperature [C](Hourly),FLR1_GROUP15_BUILDING5_FLOOR2_ROOM1_SIMPLIFIED:Zone Air Temperature [C](Hourly),FLR2_GROUP15_BUILDING5_FLOOR2_ROOM1_SIMPLIFIED:Zone Air Temperature [C](Hourly),FLR3_GROUP15_BUILDING5_FLOOR2_ROOM1_SIMPLIFIED:Zone Air Temperature [C](Hourly),PURCHASED AIR FLR1_GROUP15_BUILDING5_FLOOR1_ROOM1_SIMPLIFIED:Zone Ideal Loads Supply Air Total Heating Energy [J](Hourly),PURCHASED AIR FLR1_GROUP15_BUILDING5_FLOOR1_ROOM1_SIMPLIFIED:Zone Ideal Loads Supply Air Total Cooling Energy [J](Hourly),PURCHASED AIR FLR1_GROUP15_BUILDING5_FLOOR2_ROOM1_SIMPLIFIED:Zone Ideal Loads Supply Air Total Heating Energy [J](Hourly),PURCHASED AIR FLR1_GROUP15_BUILDING5_FLOOR2_ROOM1_SIMPLIFIED:Zone Ideal Loads Supply Air Total Cooling Energy [J](Hourly),PURCHASED AIR FLR2_GROUP15_BUILDING5_FLOOR2_ROOM1_SIMPLIFIED:Zone Ideal Loads Supply Air Total Heating Energy [J](Hourly),PURCHASED AIR FLR2_GROUP15_BUILDING5_FLOOR2_ROOM1_SIMPLIFIED:Zone Ideal Loads Supply Air Total Cooling Energy [J](Hourly),PURCHASED AIR FLR3_GROUP15_BUILDING5_FLOOR2_ROOM1_SIMPLIFIED:Zone Ideal Loads Supply Air Total Heating Energy [J](Hourly),PURCHASED AIR FLR3_GROUP15_BUILDING5_FLOOR2_ROOM1_SIMPLIFIED:Zone Ideal Loads Supply Air Total Cooling Energy [J](Hourly) 
 06/24  01:00:00,25.794418773101467,26.0,26.0,26.0,0.0,0.0,0.0,1137532.59092667,0.0,1464563.0397689855,0.0,1871060.5942573508 
 06/24  02:00:00,25.641222340876174,26.0,26.0,26.0,0.0,0.0,0.0,791804.0336619666,0.0,1121228.2787007897,0.0,1501272.4985558687 
 06/24  03:00:00,25.55653691464934,26.0,26.0,26.0,0.0,0.0,0.0,633280.0793404958,0.0,967941.8882215862,0.0,1305614.9137348068 
 06/24  04:00:00,25.511440076491028,26.0,26.0,25.999999999999998,0.0,0.0,0.0,612226.0395166938,0.0,934809.3820377627,0.0,1217503.434272749 
 06/24  05:00:00,25.506839075604117,26.0,26.0,26.0,0.0,0.0,0.0,724390.3961223009,0.0,1064975.144918085,0.0,1231077.6542355724 
 06/24  06:00:00,25.56760173280223,26.0,26.0,26.0,0.0,0.0,0.0,1112483.8076432683,0.0,1552085.1025753655,0.0,1555712.7534666507 
 06/24  07:00:00,25.665011870530745,26.0,26.0,26.0,0.0,0.0,0.0,1602259.9614750986,0.0,2176619.87085998,0.0,2033611.4364088034 
 06/24  08:00:00,25.820872966636647,26.0,26.0,26.000000000000005,0.0,0.0,0.0,2300112.861569721,0.0,3033671.7863347365,0.0,2767764.479289538 
 06/24  09:00:00,25.985723333581264,26.0,26.0,26.0,0.0,371466.5195243475,0.0,3169645.7186715065,0.0,4048507.1477400867,0.0,3697138.821558312 
 06/24  10:00:00,26.0,26.0,26.0,26.0,0.0,1332950.0854615886,0.0,4115863.4995355557,0.0,4931472.61323729,0.0,4576182.681942061 
 06/24  11:00:00,26.0,26.0,26.0,26.0,0.0,2026436.7678147725,0.0,4637465.596061615,0.0,5435774.316705449,0.0,5123343.690868596 
 06/24  12:00:00,26.0,26.0,26.0,26.0,0.0,2545818.537978746,0.0,4932890.725994101,0.0,5753775.329321119,0.0,5496301.753144601 
 06/24  13:00:00,26.0,26.0,26.0,26.0,0.0,3048089.5142707035,0.0,5294877.622959801,0.0,6141849.092101752,0.0,5927899.884276239 
