Date/Time,FLR1_GROUP15_BUILDING5_FLOOR1_ROOM1_SIMPLIFIED:Zone Air Temperature [C](Hourly),FLR1_GROUP15_BUILDING5_FLOOR2_ROOM1_SIMPLIFIED:Zone Air Temperature [C](Hourly),FLR2_GROUP15_BUILDING5_FLOOR2_ROOM1_SIMPLIFIED:Zone Air Temperature [C](Hourly),FLR3_GROUP15_BUILDING5_FLOOR2_ROOM1_SIMPLIFIED:Zone Air Temperature [C](Hourly),PURCHASED AIR FLR1_GROUP15_BUILDING5_FLOOR1_ROOM1_SIMPLIFIED:Zone Ideal Loads Supply Air Total Heating Energy [J](Hourly),PURCHASED AIR FLR1_GROUP15_BUILDING5_FLOOR1_ROOM1_SIMPLIFIED:Zone Ideal Loads Supply Air Total Cooling Energy [J](Hourly),PURCHASED AIR FLR1_GROUP15_BUILDING5_FLOOR2_ROOM1_SIMPLIFIED:Zone Ideal Loads Supply Air Total Heating Energy [J](Hourly),PURCHASED AIR FLR1_GROUP15_BUILDING5_FLOOR2_ROOM1_SIMPLIFIED:Zone Ideal Loads Supply Air Total Cooling Energy [J](Hourly),PURCHASED AIR FLR2_GROUP15_BUILDING5_FLOOR2_ROOM1_SIMPLIFIED:Zone Ideal Loads Supply Air Total Heating Energy [J](Hourly),PURCHASED AIR FLR2_GROUP15_BUILDING5_FLOOR2_ROOM1_SIMPLIFIED:Zone Ideal Loads Supply Air Total Cooling Energy [J](Hourly),PURCHASED AIR FLR3_GROUP15_BUILDING5_FLOOR2_ROOM1_SIMPLIFIED:Zone Ideal Loads Supply Air Total Heating Energy [J](Hourly),PURCHASED AIR FLR3_GROUP15_BUILDING5_FLOOR2_ROOM1_SIMPLIFIED:Zone Ideal Loads Supply Air Total Cooling Energy [J](Hourly) 
 05/25  01:00:00,22.162715833535669,23.685299597204304,24.17147811448289,23.157933884346194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 05/25  02:00:00,21.89422582606512,23.412143587202409,23.891129439228128,22.943503381238587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 05/25  03:00:00,21.76804879386189,23.281219491603115,23.75363906173433,22.84173010620118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 05/25  04:00:00,21.722609143161248,23.23061546750759,23.696839421214663,22.79158472140684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 05/25  05:00:00,21.715423577968069,23.21945758114242,23.681648323805275,22.764247909400117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 05/25  06:00:00,21.745342320680395,23.25712435252687,23.7298273916077,22.777632684961238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 05/25  07:00:00,21.810960164881679,23.340267754463594,23.83555030324034,22.831304143145635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 05/25  08:00:00,21.92245309002261,23.47586865894581,24.00176262865698,22.933264296125583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 05/25  09:00:00,22.094647655760224,23.677413099867456,24.239991238009364,23.09202835324655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 05/25  10:00:00,22.297411920035473,23.91107290490694,24.511865954615403,23.27752794948246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 05/25  11:00:00,22.493494441163266,24.130758730463528,24.76137114377102,23.45323816300459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 05/25  12:00:00,22.669068269928049,24.32119308077736,24.971190717445965,23.605320963331456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 05/25  13:00:00,22.82365277717982,24.4842982990429,25.146414433713969,23.740533185471958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 05/25  14:00:00,23.00284172728917,24.672074960609053,25.348782548261867,23.902145408713193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 05/25  15:00:00,23.190439476092263,24.86826215515787,25.553907660786675,24.068133669634518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 05/25  16:00:00,23.367111734764653,25.045277032481939,25.729986475815925,24.217689893224436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 05/25  17:00:00,23.44757978084399,25.1104636102564,25.775878944957424,24.269954897171428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 05/25  18:00:00,23.367690723953918,25.004863300598577,25.639119827599587,24.187252636534877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 05/25  19:00:00,23.152038787055216,24.7554363810833,25.351444765553454,23.9983867210307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 05/25  20:00:00,22.87562651255975,24.448954421100667,25.009713469520887,23.7737011477541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 05/25  21:00:00,22.67450901488338,24.2296385030288,24.763141847209494,23.610981291048053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 05/25  22:00:00,22.52037082194515,24.065480297917817,24.58328713618982,23.482842900530256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 05/25  23:00:00,22.394503343154015,23.93235671171143,24.438477654357969,23.378150389890818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 05/25  24:00:00,22.325031270325643,23.856664654871527,24.35310499675448,23.313552377417297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 05/26  01:00:00,22.28599445725391,23.811841887016518,24.29984651517577,23.26892678044551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 05/26  02:00:00,22.25818977610201,23.778518710959003,24.25906213783715,23.22889625331698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 05/26  03:00:00,22.220527394569705,23.73561029674342,24.209495614816338,23.180775380922858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 05/26  04:00:00,22.18684501460629,23.696815266634386,24.16457619447714,23.135573922536243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 05/26  05:00:00,22.158822391198585,23.666425711498474,24.13170107378635,23.09860616173192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 05/26  06:00:00,22.225804579082149,23.755989530174948,24.248278567718548,23.173877344840578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 05/26  07:00:00,22.384103765755869,23.962452489024718,24.51015718332978,23.351602457443023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 05/26  08:00:00,22.6533590209456,24.293305205163607,24.911397198784795,23.642664241894836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 05/26  09:00:00,23.13174780307695,24.83770672181801,25.532744187036056,24.097402582767093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 05/26  10:00:00,23.72691160705101,25.496334351786634,25.990902577124218,24.635289379989076,0.0,0.0,0.0,0.0,0.0,1353876.6928216662,0.0,0.0 
 05/26  11:00:00,24.278138087464116,25.976102093756699,25.999999999999984,25.102942985671633,0.0,0.0,0.0,554163.0910255956,0.0,2662379.63128792,0.0,0.0 
 05/26  12:00:00,24.62113716231552,25.999999999999959,26.0,25.370018560884146,0.0,0.0,0.0,1279042.9912649333,0.0,2851038.777851474,0.0,0.0 
 05/26  13:00:00,24.870495169653255,26.0,26.0,25.588356474004397,0.0,0.0,0.0,1699084.4941301854,0.0,3191632.9746403435,0.0,0.0 
 05/26  14:00:00,25.152447657961507,26.0,26.0,25.88454764369052,0.0,0.0,0.0,2347356.288386657,0.0,3883973.51011351,0.0,39540.158310669365 
 05/26  15:00:00,25.397656113462135,26.0,26.0,25.999999964553696,0.0,0.0,0.0,2769104.514602845,0.0,4377191.920812297,0.0,754329.370235445 
 05/26  16:00:00,25.506878338148494,26.0,26.0,26.0,0.0,0.0,0.0,2752167.582578771,0.0,4356473.950688728,0.0,1157950.41226419 
 05/26  17:00:00,25.482122699971048,26.0,26.0,26.0,0.0,0.0,0.0,2409277.156071895,0.0,3919927.6115187818,0.0,1126591.1911196453 
 05/26  18:00:00,25.355959694396775,26.0,26.0,26.0,0.0,0.0,0.0,1872737.983804266,0.0,3217154.5052512607,0.0,791009.3872372178 
 05/26  19:00:00,25.1656936373694,25.999999999999998,26.0,25.999418903521915,0.0,0.0,0.0,1218474.400401022,0.0,2369349.1384675346,0.0,256562.99947861699 
 05/26  20:00:00,24.860689896819495,25.99677509853294,26.0,25.854834419211654,0.0,0.0,0.0,307586.15253068276,0.0,1235650.494567546,0.0,0.0 
 05/26  21:00:00,24.471591903818014,25.827848046010204,25.997100196367297,25.55068490801391,0.0,0.0,0.0,0.0,0.0,242105.021036978,0.0,0.0 
 05/26  22:00:00,24.038147385513683,25.434024979187869,25.78338908060476,25.2185421798906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 05/26  23:00:00,23.598176815338836,25.01716112519793,25.397847271384547,24.900150442046966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 05/26  24:00:00,23.31114985762161,24.743882461821174,25.132529040857663,24.69215112045588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 05/27  01:00:00,23.101511498075639,24.54287031519307,24.9339876328561,24.530674710311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 05/27  02:00:00,22.92972751065081,24.37661362553777,24.76803206232368,24.387390867214195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 05/27  03:00:00,22.759967684897615,24.210328955127939,24.6010304220077,24.239917835804694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 05/27  04:00:00,22.61041664451039,24.062712215234958,24.45212042715602,24.1046221983735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 05/27  05:00:00,22.501249377027759,23.956924421010944,24.347877318853905,24.002308021886127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 05/27  06:00:00,22.529419537330175,24.0099581358877,24.428633361727134,24.036215474067988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 05/27  07:00:00,22.676814955340818,24.204238414903999,24.675762002346734,24.18851840204458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 05/27  08:00:00,22.95005227933883,24.537033600306413,25.075308597615096,24.460074389394383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 05/27  09:00:00,23.423572669610367,25.075609915455308,25.688030350902907,24.89360264548805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 05/27  10:00:00,24.04848280617412,25.74622665114937,25.999971299268848,25.418599157064734,0.0,0.0,0.0,97521.03995868235,0.0,1601277.7576261343,0.0,0.0 
 05/27  11:00:00,24.649156797497438,25.999999632727876,26.0,25.888017815031025,0.0,0.0,0.0,1315766.2303163873,0.0,2837896.722661852,0.0,57383.291923126664 
 05/27  12:00:00,25.057967821739515,26.0,26.0,25.999999976617713,0.0,0.0,0.0,2049496.7383938288,0.0,3462779.954038918,0.0,763454.5557575882 
 05/27  13:00:00,25.400161132913593,26.0,26.0,26.0,0.0,0.0,0.0,2695868.578699854,0.0,4073580.2151160289,0.0,1549155.8932324169 
 05/27  14:00:00,25.759811209722576,25.999999999999998,26.0,26.0,0.0,0.0,0.0,3451419.969550835,0.0,4890881.170635662,0.0,2495566.533549343 
 05/27  15:00:00,25.99285037740732,26.0,26.0,26.0,0.0,290715.2851414023,0.0,3936704.2392261729,0.0,5445377.108574673,0.0,3237807.3779733499 
 05/27  16:00:00,26.0,26.0,26.0,26.0,0.0,543632.936988115,0.0,3970880.442616175,0.0,5471486.994171739,0.0,3533249.0206474557 
 05/27  17:00:00,26.0,26.0,26.0,26.0,0.0,365262.0088667351,0.0,3778899.8191148156,0.0,5238832.661171577,0.0,3543754.507151912 
 05/27  18:00:00,25.97981982977566,26.0,26.0,26.0,0.0,29897.392996349132,0.0,3265572.4147181829,0.0,4605257.588365551,0.0,3162414.192124701 
 05/27  19:00:00,25.78332206087278,26.0,26.0,26.0,0.0,0.0,0.0,2366493.0958941148,0.0,3520865.5970599239,0.0,2336494.0415880705 
 05/27  20:00:00,25.473015432377925,26.0,26.0,26.0,0.0,0.0,0.0,1396975.1474267699,0.0,2365621.845482292,0.0,1370920.2950973428 
 05/27  21:00:00,25.190003818011104,26.0,26.0,26.0,0.0,0.0,0.0,717786.9532838694,0.0,1588999.13386085,0.0,669810.5858769501 
