Date/Time,FLR1_GROUP15_BUILDING5_FLOOR1_ROOM1_SIMPLIFIED:Zone Air Temperature [C](Hourly),FLR1_GROUP15_BUILDING5_FLOOR2_ROOM1_SIMPLIFIED:Zone Air Temperature [C](Hourly),FLR2_GROUP15_BUILDING5_FLOOR2_ROOM1_SIMPLIFIED:Zone Air Temperature [C](Hourly),FLR3_GROUP15_BUILDING5_FLOOR2_ROOM1_SIMPLIFIED:Zone Air Temperature [C](Hourly),PURCHASED AIR FLR1_GROUP15_BUILDING5_FLOOR1_ROOM1_SIMPLIFIED:Zone Ideal Loads Supply Air Total Heating Energy [J](Hourly),PURCHASED AIR FLR1_GROUP15_BUILDING5_FLOOR1_ROOM1_SIMPLIFIED:Zone Ideal Loads Supply Air Total Cooling Energy [J](Hourly),PURCHASED AIR FLR1_GROUP15_BUILDING5_FLOOR2_ROOM1_SIMPLIFIED:Zone Ideal Loads Supply Air Total Heating Energy [J](Hourly),PURCHASED AIR FLR1_GROUP15_BUILDING5_FLOOR2_ROOM1_SIMPLIFIED:Zone Ideal Loads Supply Air Total Cooling Energy [J](Hourly),PURCHASED AIR FLR2_GROUP15_BUILDING5_FLOOR2_ROOM1_SIMPLIFIED:Zone Ideal Loads Supply Air Total Heating Energy [J](Hourly),PURCHASED AIR FLR2_GROUP15_BUILDING5_FLOOR2_ROOM1_SIMPLIFIED:Zone Ideal Loads Supply Air Total Cooling Energy [J](Hourly),PURCHASED AIR FLR3_GROUP15_BUILDING5_FLOOR2_ROOM1_SIMPLIFIED:Zone Ideal Loads Supply Air Total Heating Energy [J](Hourly),PURCHASED AIR FLR3_GROUP15_BUILDING5_FLOOR2_ROOM1_SIMPLIFIED:Zone Ideal Loads Supply Air Total Cooling Energy [J](Hourly) 
 02/21  01:00:00,20.000000000000005,20.00000463790572,20.018765081845559,20.0,2264572.9817142786,0.0,1729628.9249021402,0.0,1356367.6777005573,0.0,3142503.087017739,0.0 
 02/21  02:00:00,20.0,20.0,20.0,20.0,3619864.440618943,0.0,3134232.4129265325,0.0,2875271.6136716848,0.0,4433566.638956599,0.0 
 02/21  03:00:00,20.0,20.0,20.0,20.0,3650855.867368406,0.0,3180240.9440871865,0.0,2950811.949861977,0.0,4477163.462176144,0.0 
 02/21  04:00:00,20.0,20.0,20.0,20.0,3691137.543111736,0.0,3231303.0397044627,0.0,3022820.1291044286,0.0,4540667.158960088,0.0 
 02/21  05:00:00,20.0,20.0,20.0,20.0,3721389.872442346,0.0,3270322.517833083,0.0,3078698.327914181,0.0,4608298.226601548,0.0 
 02/21  06:00:00,20.0,20.0,20.0,20.0,3736772.965334283,0.0,3293307.001473941,0.0,3116111.810049029,0.0,4675504.3452990469,0.0 
 02/21  07:00:00,20.0,20.0,20.0,20.0,3756565.2727428285,0.0,3319606.223715274,0.0,3155008.9115722195,0.0,4753859.341608516,0.0 
 02/21  08:00:00,20.0,20.0,20.0,20.0,3637023.228450317,0.0,3182702.6821430206,0.0,2983711.7246578985,0.0,4645574.947998249,0.0 
 02/21  09:00:00,20.0,20.0,20.0,20.0,3206623.5374539166,0.0,2676884.4871209745,0.0,2344795.9500039026,0.0,4090849.4961595146,0.0 
 02/21  10:00:00,20.0,20.0,20.0,20.0,2717881.4057213345,0.0,2082108.5238267943,0.0,1597058.8246221569,0.0,3403004.509752736,0.0 
 02/21  11:00:00,20.0,20.0,20.0,20.0,2202637.569667768,0.0,1451861.082761179,0.0,841347.719577697,0.0,2685088.2206389287,0.0 
 02/21  12:00:00,20.0,20.000000000000005,20.0,20.0,1744442.0051953623,0.0,914118.6741172117,0.0,245622.94526194604,0.0,2083685.9195552725,0.0 
 02/21  13:00:00,20.0,20.0,20.04712425375757,20.0,1339851.0489600453,0.0,474505.41358348567,0.0,0.0,0.0,1597165.7263987745,0.0 
 02/21  14:00:00,20.0,20.005822709378419,20.23199102783722,20.0,889757.5076061591,0.0,57620.860010034805,0.0,0.0,0.0,1064134.1484438964,0.0 
 02/21  15:00:00,20.0,20.08006675006234,20.397169631352005,20.0,566001.857217132,0.0,0.0,0.0,0.0,0.0,714921.1213956121,0.0 
 02/21  16:00:00,20.0,20.131468445050954,20.450768000396726,19.999999999999998,422875.94029427276,0.0,0.0,0.0,0.0,0.0,666112.0756414777,0.0 
 02/21  17:00:00,20.0,20.12546647756758,20.41188331668145,20.0,410682.0189847582,0.0,0.0,0.0,0.0,0.0,846014.6688529217,0.0 
 02/21  18:00:00,20.0,20.084644257917508,20.317381072874708,20.0,432872.08540981958,0.0,0.0,0.0,0.0,0.0,1102344.5944812338,0.0 
 02/21  19:00:00,20.0,20.10404974082699,20.29725778608591,20.0,258759.8868909554,0.0,0.0,0.0,0.0,0.0,1077613.215700032,0.0 
 02/21  20:00:00,20.0,20.17830049652928,20.353940924937147,20.0,100744.42161995103,0.0,0.0,0.0,0.0,0.0,993113.7268978681,0.0 
 02/21  21:00:00,20.0,20.199861129031175,20.36422014706093,20.0,113338.47175447882,0.0,0.0,0.0,0.0,0.0,1043418.3208785226,0.0 
 02/21  22:00:00,20.0,20.160724378913299,20.316351794405369,20.0,254568.30394410497,0.0,0.0,0.0,0.0,0.0,1199370.1667785585,0.0 
 02/21  23:00:00,20.0,20.098900380144739,20.24764517160578,20.0,373871.47203002389,0.0,0.0,0.0,0.0,0.0,1322394.4103256828,0.0 
 02/21  24:00:00,20.0,20.052187935620244,20.195201370981655,20.0,464245.8958001778,0.0,0.0,0.0,0.0,0.0,1411737.7250138729,0.0 
 02/22  01:00:00,20.0,20.00529732639575,20.132809365888688,20.0,582185.882428706,0.0,51949.32005061273,0.0,0.0,0.0,1524501.0495272466,0.0 
 02/22  02:00:00,20.0,20.0,20.032562843105237,20.000000000000005,886045.1168343322,0.0,391908.5030694652,0.0,88147.1201202381,0.0,1816496.824024149,0.0 
 02/22  03:00:00,20.000000000000005,20.0,20.000000000001316,20.0,1394116.3027001955,0.0,919020.9530803767,0.0,657838.3660908759,0.0,2307106.751597185,0.0 
 02/22  04:00:00,20.0,20.0,20.0,19.999999999999998,2080927.2644589439,0.0,1620474.2916115064,0.0,1392231.1716229569,0.0,2971076.2980591815,0.0 
 02/22  05:00:00,20.0,20.0,20.0,20.0,2618813.528362328,0.0,2169307.139407446,0.0,1962934.3771972317,0.0,3493125.340754325,0.0 
 02/22  06:00:00,20.0,20.0,20.0,20.0,2891621.6449552655,0.0,2450633.422767521,0.0,2261174.476050162,0.0,3770262.70234392,0.0 
 02/22  07:00:00,20.0,20.000000000000005,20.0,20.0,3021860.1153277244,0.0,2587954.1913407815,0.0,2412339.7182551727,0.0,3919638.2865946639,0.0 
 02/22  08:00:00,20.0,20.0,20.0,19.999999999999998,2753347.3305458959,0.0,2294427.532441028,0.0,2074153.569913987,0.0,3624096.4230595037,0.0 
 02/22  09:00:00,19.999999999999998,20.0,19.999999999999998,20.0,1896810.4057363729,0.0,1326677.864926039,0.0,936330.1679695433,0.0,2578503.542143477,0.0 
 02/22  10:00:00,20.0,20.014955834947278,20.10049241819181,20.0,833092.4127622187,0.0,223811.3850779686,0.0,27930.353450962866,0.0,1264562.0643475776,0.0 
 02/22  11:00:00,20.05057649505138,20.321273904193835,20.59730584347106,20.025804327751524,28262.647291568286,0.0,0.0,0.0,0.0,0.0,115250.96216882958,0.0 
 02/22  12:00:00,20.345072322341335,20.76400012803192,21.10436933558559,20.263203750858485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 02/22  13:00:00,20.70628191639204,21.183224154976118,21.549808346138247,20.561547285451309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 02/22  14:00:00,21.031996162958355,21.542346848261816,21.940425099162295,20.848090566485497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 02/22  15:00:00,21.157317991832558,21.674548204143624,22.100899102523923,20.97452197447598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 02/22  16:00:00,21.045608819158756,21.540953350724267,21.960596311646897,20.877794980814604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 02/22  17:00:00,20.76382070194053,21.22133882741491,21.597875443809746,20.61663664014701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 02/22  18:00:00,20.396840728120574,20.814548188531629,21.122263926001293,20.2762083763463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
