Date/Time,FLR1_GROUP15_BUILDING5_FLOOR1_ROOM1_SIMPLIFIED:Zone Air Temperature [C](Hourly),FLR1_GROUP15_BUILDING5_FLOOR2_ROOM1_SIMPLIFIED:Zone Air Temperature [C](Hourly),FLR2_GROUP15_BUILDING5_FLOOR2_ROOM1_SIMPLIFIED:Zone Air Temperature [C](Hourly),FLR3_GROUP15_BUILDING5_FLOOR2_ROOM1_SIMPLIFIED:Zone Air Temperature [C](Hourly),PURCHASED AIR FLR1_GROUP15_BUILDING5_FLOOR1_ROOM1_SIMPLIFIED:Zone Ideal Loads Supply Air Total Heating Energy [J](Hourly),PURCHASED AIR FLR1_GROUP15_BUILDING5_FLOOR1_ROOM1_SIMPLIFIED:Zone Ideal Loads Supply Air Total Cooling Energy [J](Hourly),PURCHASED AIR FLR1_GROUP15_BUILDING5_FLOOR2_ROOM1_SIMPLIFIED:Zone Ideal Loads Supply Air Total Heating Energy [J](Hourly),PURCHASED AIR FLR1_GROUP15_BUILDING5_FLOOR2_ROOM1_SIMPLIFIED:Zone Ideal Loads Supply Air Total Cooling Energy [J](Hourly),PURCHASED AIR FLR2_GROUP15_BUILDING5_FLOOR2_ROOM1_SIMPLIFIED:Zone Ideal Loads Supply Air Total Heating Energy [J](Hourly),PURCHASED AIR FLR2_GROUP15_BUILDING5_FLOOR2_ROOM1_SIMPLIFIED:Zone Ideal Loads Supply Air Total Cooling Energy [J](Hourly),PURCHASED AIR FLR3_GROUP15_BUILDING5_FLOOR2_ROOM1_SIMPLIFIED:Zone Ideal Loads Supply Air Total Heating Energy [J](Hourly),PURCHASED AIR FLR3_GROUP15_BUILDING5_FLOOR2_ROOM1_SIMPLIFIED:Zone Ideal Loads Supply Air Total Cooling Energy [J](Hourly) 
 04/24  01:00:00,20.361426420754474,21.851484102251406,22.59158483932951,21.822150974726843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 04/24  02:00:00,20.073254680066176,21.552129749033317,22.280760151892549,21.581146728017328,40652.37490528962,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 04/24  03:00:00,20.0000000014382,21.359759293964645,22.077869419536467,21.417737967004134,395599.64236093949,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 04/24  04:00:00,20.0,21.261182070996765,21.969429214826844,21.31748570642981,512684.765266093,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 04/24  05:00:00,20.0,21.194440036715677,21.89350024470602,21.22896688422384,643012.8746530288,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 04/24  06:00:00,20.0,21.123401308327105,21.82166125608593,21.139644040053104,719829.2375691307,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 04/24  07:00:00,20.0,21.19063446022653,21.918990216964717,21.172552382056975,518213.568865841,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 04/24  08:00:00,20.042494165130014,21.42228672469905,22.198482476135806,21.35005281537595,64661.971761820314,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 04/24  09:00:00,20.409389960745569,21.936040003588969,22.774056577586248,21.748727380297355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 04/24  10:00:00,21.026691406816878,22.635090136075019,23.536875269293235,22.28456537209237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 04/24  11:00:00,21.672202934041708,23.33353317998636,24.282983379593444,22.791596935865468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 04/24  12:00:00,22.117895003814998,23.795488501182814,24.76446232114756,23.11601985559898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 04/24  13:00:00,22.45130291344496,24.135244755822574,25.1162605210413,23.378756361645729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 04/24  14:00:00,22.785071672881924,24.491407456656835,25.50903037569726,23.694123699158273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 04/24  15:00:00,23.066099423933669,24.792924069606444,25.85262208384042,23.988145491253339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 04/24  16:00:00,23.201558160975098,24.925603110287868,25.99585747037487,24.14323726330839,0.0,0.0,0.0,0.0,0.0,742.3079744243294,0.0,0.0 
 04/24  17:00:00,23.15711306379677,24.85443650723794,25.898306175566306,24.117888580872955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 04/24  18:00:00,22.901502156158288,24.55365172198439,25.53952757647468,23.89074258732381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 04/24  19:00:00,22.49761707151698,24.094349559206014,25.006118342236346,23.53698020352432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 04/24  20:00:00,22.009572677915189,23.55890607829726,24.40581865770579,23.139004542739284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 04/24  21:00:00,21.640932290148318,23.16986754361203,23.981097684505273,22.85273958955747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 04/24  22:00:00,21.298979282824438,22.81524402347833,23.60301465883137,22.581639489007388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 04/24  23:00:00,20.965388156608709,22.472017160232043,23.241384871232346,22.31716498631546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 04/24  24:00:00,20.665819676185099,22.16424916798167,22.918214314302799,22.075966265221905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 04/25  01:00:00,20.386275088724245,21.877204647827314,22.617889501127434,21.844898723690976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 04/25  02:00:00,20.131844227011489,21.61559805547324,22.34459808755445,21.6294654216222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 04/25  03:00:00,20.000229500484719,21.397419739133985,22.11590121662498,21.44263320107528,330325.75004463727,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 04/25  04:00:00,19.999999999999998,21.222540850214807,21.93139296154369,21.28389581175534,697857.2686078667,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 04/25  05:00:00,20.0,21.082566917379365,21.78244111274501,21.14543553384821,946566.2257508243,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 04/25  06:00:00,20.0,21.004027673874615,21.703907012113203,21.05727788995154,972799.8928070113,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 04/25  07:00:00,20.0,21.103044931542624,21.83303209356336,21.117237388968346,645115.4654501603,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 04/25  08:00:00,20.061810006831985,21.414547577520059,22.19420241482895,21.356373276829875,55727.82494742568,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 04/25  09:00:00,20.51501806895779,22.02738505454394,22.8688616669063,21.82774033628706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 04/25  10:00:00,21.26518093745638,22.867317829306385,23.775908196074515,22.466084513710343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 04/25  11:00:00,22.014725452376923,23.671317833870189,24.627556666104295,23.041872263771116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 04/25  12:00:00,22.49437322641343,24.16906188128623,25.145401382017256,23.3952409291813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 04/25  13:00:00,22.813135037673974,24.49493358183017,25.48210770289319,23.651050866375216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 04/25  14:00:00,23.099336268411468,24.802771737902679,25.825521270670678,23.938230305689829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
