Date/Time,FLR1_GROUP15_BUILDING5_FLOOR1_ROOM1_SIMPLIFIED:Zone Air Temperature [C](Hourly),FLR1_GROUP15_BUILDING5_FLOOR2_ROOM1_SIMPLIFIED:Zone Air Temperature [C](Hourly),FLR2_GROUP15_BUILDING5_FLOOR2_ROOM1_SIMPLIFIED:Zone Air Temperature [C](Hourly),FLR3_GROUP15_BUILDING5_FLOOR2_ROOM1_SIMPLIFIED:Zone Air Temperature [C](Hourly),PURCHASED AIR FLR1_GROUP15_BUILDING5_FLOOR1_ROOM1_SIMPLIFIED:Zone Ideal Loads Supply Air Total Heating Energy [J](Hourly),PURCHASED AIR FLR1_GROUP15_BUILDING5_FLOOR1_ROOM1_SIMPLIFIED:Zone Ideal Loads Supply Air Total Cooling Energy [J](Hourly),PURCHASED AIR FLR1_GROUP15_BUILDING5_FLOOR2_ROOM1_SIMPLIFIED:Zone Ideal Loads Supply Air Total Heating Energy [J](Hourly),PURCHASED AIR FLR1_GROUP15_BUILDING5_FLOOR2_ROOM1_SIMPLIFIED:Zone Ideal Loads Supply Air Total Cooling Energy [J](Hourly),PURCHASED AIR FLR2_GROUP15_BUILDING5_FLOOR2_ROOM1_SIMPLIFIED:Zone Ideal Loads Supply Air Total Heating Energy [J](Hourly),PURCHASED AIR FLR2_GROUP15_BUILDING5_FLOOR2_ROOM1_SIMPLIFIED:Zone Ideal Loads Supply Air Total Cooling Energy [J](Hourly),PURCHASED AIR FLR3_GROUP15_BUILDING5_FLOOR2_ROOM1_SIMPLIFIED:Zone Ideal Loads Supply Air Total Heating Energy [J](Hourly),PURCHASED AIR FLR3_GROUP15_BUILDING5_FLOOR2_ROOM1_SIMPLIFIED:Zone Ideal Loads Supply Air Total Cooling Energy [J](Hourly) 
 10/25  01:00:00,20.0,20.0,20.0,20.0,3077139.1616376435,0.0,2602996.1583401628,0.0,2352452.478087548,0.0,3844352.743878086,0.0 
 10/25  02:00:00,20.0,20.000000000000005,20.0,20.0,3835801.6036325555,0.0,3369730.1585934616,0.0,3137009.3543228895,0.0,4600086.848035328,0.0 
 10/25  03:00:00,20.0,20.0,20.0,20.0,3693718.349321955,0.0,3235399.1698531245,0.0,3018088.364945306,0.0,4508968.802172867,0.0 
 10/25  04:00:00,20.0,20.000000000000005,20.0,20.0,3396320.3439241766,0.0,2945246.9403938569,0.0,2740846.712298607,0.0,4272579.85842498,0.0 
 10/25  05:00:00,20.0,20.0,20.0,20.0,3147564.589825517,0.0,2703741.0506019776,0.0,2510929.9657323907,0.0,4092925.696305855,0.0 
 10/25  06:00:00,20.000000000000005,20.000000000000005,20.0,20.0,3040218.9647979598,0.0,2603168.4786187515,0.0,2421246.7364506304,0.0,4051038.398919391,0.0 
 10/25  07:00:00,20.0,20.0,20.0,20.0,2963810.2107344709,0.0,2529286.5629986508,0.0,2349479.806601822,0.0,4027775.6477676846,0.0 
 10/25  08:00:00,20.0,20.0,20.0,20.0,2670831.370680663,0.0,2203083.043463342,0.0,1947015.1040467434,0.0,3675049.718680215,0.0 
 10/25  09:00:00,19.999999999999998,20.000000000000005,20.0,20.0,2129335.061940542,0.0,1583074.9398950677,0.0,1159688.639137447,0.0,2922526.804665396,0.0 
 10/25  10:00:00,20.0,20.0,20.0,20.0,1594860.2099224502,0.0,968190.0763899642,0.0,378330.9589095181,0.0,2148273.3595256416,0.0 
 10/25  11:00:00,20.0,20.0,20.09947559754468,20.0,1037995.4605742823,0.0,334553.4121866367,0.0,0.0,0.0,1352297.2183932535,0.0 
