Date/Time,FLR1_GROUP15_BUILDING5_FLOOR1_ROOM1_SIMPLIFIED:Zone Air Temperature [C](Hourly),FLR1_GROUP15_BUILDING5_FLOOR2_ROOM1_SIMPLIFIED:Zone Air Temperature [C](Hourly),FLR2_GROUP15_BUILDING5_FLOOR2_ROOM1_SIMPLIFIED:Zone Air Temperature [C](Hourly),FLR3_GROUP15_BUILDING5_FLOOR2_ROOM1_SIMPLIFIED:Zone Air Temperature [C](Hourly),PURCHASED AIR FLR1_GROUP15_BUILDING5_FLOOR1_ROOM1_SIMPLIFIED:Zone Ideal Loads Supply Air Total Heating Energy [J](Hourly),PURCHASED AIR FLR1_GROUP15_BUILDING5_FLOOR1_ROOM1_SIMPLIFIED:Zone Ideal Loads Supply Air Total Cooling Energy [J](Hourly),PURCHASED AIR FLR1_GROUP15_BUILDING5_FLOOR2_ROOM1_SIMPLIFIED:Zone Ideal Loads Supply Air Total Heating Energy [J](Hourly),PURCHASED AIR FLR1_GROUP15_BUILDING5_FLOOR2_ROOM1_SIMPLIFIED:Zone Ideal Loads Supply Air Total Cooling Energy [J](Hourly),PURCHASED AIR FLR2_GROUP15_BUILDING5_FLOOR2_ROOM1_SIMPLIFIED:Zone Ideal Loads Supply Air Total Heating Energy [J](Hourly),PURCHASED AIR FLR2_GROUP15_BUILDING5_FLOOR2_ROOM1_SIMPLIFIED:Zone Ideal Loads Supply Air Total Cooling Energy [J](Hourly),PURCHASED AIR FLR3_GROUP15_BUILDING5_FLOOR2_ROOM1_SIMPLIFIED:Zone Ideal Loads Supply Air Total Heating Energy [J](Hourly),PURCHASED AIR FLR3_GROUP15_BUILDING5_FLOOR2_ROOM1_SIMPLIFIED:Zone Ideal Loads Supply Air Total Cooling Energy [J](Hourly) 
 09/24  01:00:00,24.703367800392216,25.702389696429365,25.871647036695177,25.792747056689959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 09/24  02:00:00,24.545009636032174,25.559210653217805,25.730863587319147,25.669008522390987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 09/24  03:00:00,24.463227473697505,25.490198753427948,25.663319586649079,25.60413632729818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 09/24  04:00:00,24.442701190726298,25.48082112143589,25.655119014055804,25.57944053726166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 09/24  05:00:00,24.438728681985073,25.486506640441239,25.661623837854049,25.558168464339066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 09/24  06:00:00,24.399775807419134,25.45597371661339,25.631510192088617,25.509357604481953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 09/24  07:00:00,24.387819239377863,25.457883447135506,25.646169846577839,25.499664764308368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 09/24  08:00:00,24.495922809884929,25.5974418786559,25.83275036312891,25.63019880969735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 09/24  09:00:00,24.770193517795929,25.903233710941039,25.999986547653067,25.90841705526749,0.0,0.0,0.0,174906.0770358774,0.0,1249961.2846057905,0.0,133551.6905822234 
 09/24  10:00:00,25.145135165068596,25.999999999761618,26.0,25.999999999972734,0.0,0.0,0.0,1633912.5057394184,0.0,2948320.5792558018,0.0,1658793.637848297 
 09/24  11:00:00,25.543629655187286,26.0,26.0,26.0,0.0,0.0,0.0,2912860.104468464,0.0,4242502.144125059,0.0,3168810.520374636 
