Date/Time,FLR1_GROUP15_BUILDING5_FLOOR1_ROOM1_SIMPLIFIED:Zone Air Temperature [C](Hourly),FLR1_GROUP15_BUILDING5_FLOOR2_ROOM1_SIMPLIFIED:Zone Air Temperature [C](Hourly),FLR2_GROUP15_BUILDING5_FLOOR2_ROOM1_SIMPLIFIED:Zone Air Temperature [C](Hourly),FLR3_GROUP15_BUILDING5_FLOOR2_ROOM1_SIMPLIFIED:Zone Air Temperature [C](Hourly),PURCHASED AIR FLR1_GROUP15_BUILDING5_FLOOR1_ROOM1_SIMPLIFIED:Zone Ideal Loads Supply Air Total Heating Energy [J](Hourly),PURCHASED AIR FLR1_GROUP15_BUILDING5_FLOOR1_ROOM1_SIMPLIFIED:Zone Ideal Loads Supply Air Total Cooling Energy [J](Hourly),PURCHASED AIR FLR1_GROUP15_BUILDING5_FLOOR2_ROOM1_SIMPLIFIED:Zone Ideal Loads Supply Air Total Heating Energy [J](Hourly),PURCHASED AIR FLR1_GROUP15_BUILDING5_FLOOR2_ROOM1_SIMPLIFIED:Zone Ideal Loads Supply Air Total Cooling Energy [J](Hourly),PURCHASED AIR FLR2_GROUP15_BUILDING5_FLOOR2_ROOM1_SIMPLIFIED:Zone Ideal Loads Supply Air Total Heating Energy [J](Hourly),PURCHASED AIR FLR2_GROUP15_BUILDING5_FLOOR2_ROOM1_SIMPLIFIED:Zone Ideal Loads Supply Air Total Cooling Energy [J](Hourly),PURCHASED AIR FLR3_GROUP15_BUILDING5_FLOOR2_ROOM1_SIMPLIFIED:Zone Ideal Loads Supply Air Total Heating Energy [J](Hourly),PURCHASED AIR FLR3_GROUP15_BUILDING5_FLOOR2_ROOM1_SIMPLIFIED:Zone Ideal Loads Supply Air Total Cooling Energy [J](Hourly) 
 08/25  01:00:00,25.253663055916904,25.93762261257737,25.98713661277669,25.998173243285156,0.0,0.0,0.0,27637.390538089683,0.0,185763.76189789154,0.0,372248.8250473689 
 08/25  02:00:00,24.92063293867086,25.695783646014396,25.84099484221879,25.9352481112326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 08/25  03:00:00,24.752828558965605,25.562490264625109,25.72335560656292,25.843403943784215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 08/25  04:00:00,24.613326983311969,25.44695871116289,25.613264495156274,25.745654301212214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 08/25  05:00:00,24.541976238676129,25.394830774437364,25.564036856173844,25.69411414587957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 08/25  06:00:00,24.621434582051266,25.492836332392146,25.669124444654789,25.75745171277279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 08/25  07:00:00,24.920799971169634,25.820217352716158,25.959374655885573,25.96566755413089,0.0,0.0,0.0,24857.495710034636,0.0,564573.8412091723,0.0,393095.90764650996 
 08/25  08:00:00,25.30799521619259,25.99999993707191,25.999999999995397,25.9999999999979,0.0,0.0,0.0,1266003.6892469698,0.0,2226857.0122515435,0.0,1822594.7065993865 
 08/25  09:00:00,25.614595391205584,26.0,26.0,26.0,0.0,0.0,0.0,2227281.5256911988,0.0,3361396.9296502119,0.0,2934897.1211134295 
 08/25  10:00:00,25.84564177257245,26.0,26.0,26.0,0.0,0.0,0.0,2713377.3941458619,0.0,3927602.751882288,0.0,3560788.6263687598 
 08/25  11:00:00,25.987229468538748,26.0,26.0,26.0,0.0,458176.22841797678,0.0,3199709.116405942,0.0,4397521.139678108,0.0,4094120.7433414629 
 08/25  12:00:00,25.999999999999998,26.0,26.0,26.0,0.0,1314286.2815330583,0.0,3649991.9442188979,0.0,4782190.742517406,0.0,4543438.279745904 
 08/25  13:00:00,25.999999999999998,26.0,26.0,26.0,0.0,2053043.1787946339,0.0,4141361.543507687,0.0,5251253.670581077,0.0,5069438.29833271 
 08/25  14:00:00,26.0,26.0,26.0,26.0,0.0,2644712.9984027736,0.0,4610422.330115549,0.0,5789256.477600084,0.0,5693649.770558217 
 08/25  15:00:00,26.0,26.0,26.0,26.0,0.0,2720655.2260835247,0.0,4689040.276495866,0.0,5934351.5958479,0.0,5996002.085643329 
 08/25  16:00:00,26.0,26.0,26.0,26.0,0.0,2589943.4650556414,0.0,4555581.588761544,0.0,5743126.819638501,0.0,5967164.316525825 
 08/25  17:00:00,26.0,26.0,26.0,26.0,0.0,2183488.299657098,0.0,4071504.228479729,0.0,5105362.514801418,0.0,5466304.241968969 
 08/25  18:00:00,26.0,26.0,26.0,26.0,0.0,1571112.7649519023,0.0,3469179.830887633,0.0,4360618.789970323,0.0,4810047.504295597 
 08/25  19:00:00,26.0,25.999999999999998,26.0,26.0,0.0,684024.9198096871,0.0,2616791.259973702,0.0,3338360.510347958,0.0,3830589.110848205 
 08/25  20:00:00,25.983212524783374,26.0,26.0,26.0,0.0,21507.773482286335,0.0,1923300.1175060746,0.0,2528127.787969987,0.0,3016939.4408706619 
 08/25  21:00:00,25.876268033822784,25.999999999999998,26.0,26.0,0.0,0.0,0.0,1529761.2733416174,0.0,2078695.3527285183,0.0,2518313.9737713804 
 08/25  22:00:00,25.759796755514956,26.0,26.0,26.0,0.0,0.0,0.0,1169842.2470351842,0.0,1650671.2141071996,0.0,2025798.4376172866 
 08/25  23:00:00,25.64740832424005,26.0,26.0,26.0,0.0,0.0,0.0,773990.2155685321,0.0,1190158.7965972336,0.0,1506894.417377836 
